linea,etiqueta,tag_gaap,subtotal,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31
inmuebles_bruto,"Inmuebles, costo",RealEstateGrossAtCarryingValue,False,,,9288433926.0,,,,7982537708.0,,,,7177278178.0,,,,6062209367.0,,,,4605458035.0,,,,3478088144.0,,,,2350924064.0,,,
depreciacion_acumulada,Depreciación acumulada,RealEstateInvestmentPropertyAccumulatedDepreciation,False,800875000.0,758519000.0,715733000.0,677700000.0,638960000.0,601088000.0,564429000.0,526443000.0,494737000.0,463827000.0,433958000.0,403501000.0,374917000.0,347778000.0,321142000.0,296304000.0,274323000.0,253180000.0,233862000.0,216775000.0,200395000.0,185946000.0,172577000.0,158719000.0,146267000.0,135376000.0,127748000.0,121444000.0,112951000.0,106670000.0
inmuebles_neto,"Inmuebles, neto",RealEstateInvestmentPropertyNet,True,9243932000.0,8886174000.0,8572701000.0,8297241000.0,7958625000.0,7696532000.0,7418108000.0,7127780000.0,6952629000.0,6821473000.0,6743320000.0,6614308000.0,6273659000.0,6012115000.0,5741068000.0,5390821000.0,5091666000.0,4731698000.0,4367111000.0,4114047000.0,3853994000.0,3575025000.0,3304179000.0,3015606000.0,2643131000.0,2397615000.0,2218592000.0,2118928000.0,1918718000.0,1780769000.0
efectivo,Efectivo y equivalentes,CashAndCashEquivalentsAtCarryingValue,False,12518000.0,25077000.0,16295000.0,13696000.0,5824000.0,7915000.0,6399000.0,13237000.0,9639000.0,6314000.0,10907000.0,6384000.0,8068000.0,11809000.0,27763000.0,250487000.0,26267000.0,24888000.0,43252000.0,91881000.0,177046000.0,7369000.0,6137000.0,14715000.0,29341000.0,72091000.0,15603000.0,9353000.0,5520000.0,22325000.0
cuentas_por_cobrar,Cuentas por cobrar,AccountsReceivableNet,False,131211000.0,129617000.0,122477000.0,117602000.0,108117000.0,105485000.0,106416000.0,98205000.0,94853000.0,91301000.0,82954000.0,77749000.0,70929000.0,71089000.0,65841000.0,68697000.0,61406000.0,59411000.0,53442000.0,52854000.0,46882000.0,40700000.0,37808000.0,39309000.0,33996000.0,27747000.0,26808000.0,25495000.0,24914000.0,23695000.0
renta_linea_recta_por_cobrar,Rentas por cobrar en línea recta,DeferredRentReceivablesNet,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,21300000.0,19400000.0,18200000.0
intangibles_arrendamiento,Intangibles de arrendamiento,FiniteLivedIntangibleAssetsNet,False,1008888000.0,971544000.0,940778000.0,,,,818688000.0,792663000.0,801008000.0,804227000.0,817261000.0,811733000.0,787726000.0,767328000.0,762734000.0,726341000.0,702975000.0,682798000.0,638945000.0,613050000.0,567579000.0,510722000.0,437892000.0,386840000.0,335793000.0,327344000.0,316845000.0,311964000.0,282951000.0,265708000.0
activos_otros,Otros activos,OtherAssets,False,101748000.0,96861000.0,80845000.0,84639000.0,82526000.0,88733000.0,90586000.0,93505000.0,91111000.0,94057000.0,76308000.0,96269000.0,89173000.0,86629000.0,77923000.0,81611000.0,118734000.0,105206000.0,83407000.0,76626000.0,72476000.0,96383000.0,61450000.0,54096000.0,29319000.0,28963000.0,29709000.0,24328000.0,29005000.0,30596000.0
activos_totales,Activos totales,Assets,True,10586829000.0,10180243000.0,9797612000.0,9484030000.0,9084744000.0,8800577000.0,8486446000.0,8184203000.0,8000838000.0,7868665000.0,7774836000.0,7647106000.0,7272006000.0,6986427000.0,6713189000.0,6556101000.0,6038232000.0,5638590000.0,5226906000.0,4997500000.0,4764523000.0,4278402000.0,3886183000.0,3547614000.0,3111642000.0,2908945000.0,2664530000.0,2523321000.0,2304443000.0,2150337000.0
deuda_hipotecaria,Deuda hipotecaria,SecuredDebt,False,41190000.0,41370000.0,41546000.0,41718000.0,41886000.0,42050000.0,42210000.0,42366000.0,42518000.0,42666000.0,42811000.0,42952000.0,47701000.0,47842000.0,47971000.0,71721000.0,71824000.0,32249000.0,32429000.0,32607000.0,32782000.0,32953000.0,33122000.0,33304000.0,33513000.0,33720000.0,36698000.0,58423000.0,59670000.0,60303000.0
