linea,etiqueta,tag_gaap,subtotal,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31
ingreso_rentas,Ingresos por arrendamiento,OperatingLeaseLeaseIncome,False,211561000.0,206519000.0,195920000.0,187574000.0,180348000.0,173740000.0,166179000.0,159566000.0,157223000.0,154698000.0,148398000.0,141960000.0,135691000.0,132152000.0,121378000.0,115567000.0,110062000.0,103362000.0,96551000.0,91205000.0,84842000.0,80200000.0,73246000.0,65762000.0,60288000.0,58096000.0,53772000.0,49463000.0,46434000.0,44361000.0
ingreso_renta_variable,Renta variable sobre ventas,OperatingLeaseVariableLeaseIncome,False,22903000.0,25563000.0,21638000.0,21090000.0,19947000.0,19795000.0,18411000.0,16246000.0,18505000.0,17837000.0,15185000.0,14388000.0,14731000.0,16391000.0,12266000.0,12012000.0,11770000.0,11914000.0,9839000.0,9546000.0,8569000.0,8976000.0,8267000.0,6897000.0,6192000.0,6893000.0,5969000.0,4868000.0,4899000.0,5587000.0
ingreso_otros,Otros ingresos,OtherIncome,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000.0
ingresos_totales,Ingresos totales,Revenues,True,205100000.0,200807000.0,190489000.0,183222000.0,175527000.0,169160000.0,160734000.0,154332000.0,152575000.0,149453000.0,144165000.0,136812000.0,129900000.0,126618000.0,116531000.0,110065000.0,104876000.0,98342000.0,91412000.0,87537000.0,82546000.0,77829000.0,71415000.0,63810000.0,57535000.0,55809000.0,52135000.0,48075000.0,44920000.0,42348000.0
gasto_operacion_inmueble,Gastos de operación de inmuebles,DirectCostsOfLeasedAndRentedPropertyOrEquipment,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1739000.0
gasto_predial_seguro,Predial y seguros,RealEstateTaxExpense,False,15257000.0,14713000.0,14712000.0,13173000.0,12833000.0,11513000.0,13525000.0,11935000.0,10721000.0,10701000.0,10663000.0,10124000.0,9874000.0,9432000.0,7962000.0,8526000.0,7979000.0,7611000.0,6701000.0,6957000.0,6158000.0,5696000.0,6370000.0,5516000.0,4840000.0,4702000.0,4504000.0,3674000.0,3720000.0,3622000.0
depreciacion_amortizacion,Depreciación y amortización,DepreciationAndAmortization,False,69094000.0,66699000.0,63436000.0,61179000.0,58939000.0,55755000.0,56566000.0,51504000.0,50454000.0,48463000.0,47257000.0,45625000.0,42750000.0,40646000.0,37904000.0,35157000.0,31950000.0,28561000.0,26565000.0,24488000.0,23188000.0,21489000.0,19691000.0,17327000.0,15607000.0,14132000.0,13106000.0,11897000.0,10836000.0,9864000.0
gasto_administracion,Gastos generales y de administración,GeneralAndAdministrativeExpense,False,11958000.0,11477000.0,11072000.0,10887000.0,11332000.0,10771000.0,8897000.0,9114000.0,9707000.0,9515000.0,8701000.0,8844000.0,8420000.0,8821000.0,7856000.0,6992000.0,7651000.0,7622000.0,6650000.0,5687000.0,6241000.0,6879000.0,6794000.0,4756000.0,4587000.0,4658000.0,3820000.0,3832000.0,3880000.0,4035000.0
deterioro,Deterioro de activos,ImpairmentOfRealEstate,False,5900000.0,1400000.0,1600000.0,2980000.0,2961000.0,4331000.0,0.0,2694000.0,,4530000.0,,,,,,,,,,,,,,,,,,,,
gastos_totales,Gastos totales,CostsAndExpenses,True,112314000.0,104479000.0,100104000.0,97018000.0,95031000.0,91236000.0,85829000.0,81683000.0,77784000.0,80997000.0,76539000.0,73717000.0,68590000.0,66111000.0,59136000.0,55636000.0,52528000.0,49688000.0,46304000.0,40721000.0,39190000.0,37951000.0,36040000.0,32900000.0,28347000.0,26155000.0,23667000.0,21355000.0,21497000.0,19871000.0
utilidad_operativa,Utilidad de operación,OperatingIncomeLoss,True,95312000.0,98553000.0,92432000.0,87260000.0,82006000.0,78696000.0,75335000.0,74443000.0,81967000.0,70497000.0,69176000.0,63075000.0,61629000.0,60507000.0,57492000.0,57314000.0,52340000.0,50939000.0,46934000.0,50286000.0,50109000.0,42940000.0,35812000.0,31880000.0,29188000.0,29654000.0,41775000.0,26720000.0,23423000.0,22477000.0
gasto_intereses,Gasto por intereses,InterestExpense,False,,,,,,,,,,24451000.0,22371000.0,20803000.0,19948000.0,17998000.0,16843000.0,17149000.0,15512000.0,13931000.0,13111000.0,13066000.0,12549000.0,11653000.0,11790000.0,10158000.0,8479000.0,9669000.0,9731000.0,8352000.0,7455000.0,7558000.0
ganancia_venta_inmuebles,Ganancia por venta de inmuebles,GainsLossesOnSalesOfInvestmentRealEstate,False,2014000.0,1697000.0,2209000.0,924000.0,1510000.0,772000.0,406000.0,1850000.0,7156000.0,2096000.0,1549000.0,100000.0,300000.0,,0.0,3000000.0,100000.0,2300000.0,1700000.0,3500000.0,6800000.0,2900000.0,400000.0,1000000.0,5000000.0,1600000.0,4300000.0,2600000.0,2900000.0,3400000.0
otros_no_operativos,Otros resultados no operativos,OtherNonoperatingIncomeExpense,False,150000.0,148000.0,399000.0,456000.0,46000.0,41000.0,212000.0,104000.0,366000.0,117000.0,5000.0,94000.0,43000.0,48000.0,1113000.0,132000.0,0.0,0.0,-103000.0,,-14000.0,,0.0,,23000.0,,,,,0.0
impuestos,Impuesto a la utilidad,IncomeTaxExpenseBenefit,False,375000.0,500000.0,260000.0,225000.0,425000.0,825000.0,1075000.0,1077000.0,1004000.0,1149000.0,709000.0,709000.0,709000.0,783000.0,723000.0,720000.0,698000.0,719000.0,517000.0,390000.0,485000.0,1009000.0,260000.0,306000.0,260000.0,260000.0,328000.0,184000.0,195000.0,-170000.0
utilidad_neta,Utilidad neta,ProfitLoss,True,54809000.0,62231000.0,56209000.0,52279000.0,49353000.0,47148000.0,45377000.0,44528000.0,54913000.0,45014000.0,46101000.0,41657000.0,41015000.0,41774000.0,41039000.0,39577000.0,36130000.0,36289000.0,33306000.0,36830000.0,22461000.0,30278000.0,23762000.0,21416000.0,25424000.0,21370000.0,22744000.0,20781000.0,18722000.0,18516000.0
utilidad_minoritarios,Participación no controladora,NetIncomeLossAttributableToNoncontrollingInterest,False,156000.0,180000.0,172000.0,162000.0,155000.0,152000.0,138000.0,153000.0,189000.0,155000.0,146000.0,135000.0,147000.0,160000.0,113000.0,152000.0,157000.0,176000.0,156000.0,167000.0,114000.0,166000.0,147000.0,136000.0,166000.0,141000.0,184000.0,170000.0,158000.0,169000.0
dividendos_preferentes,Dividendos preferentes,DividendsPreferredStock,False,1859000.0,1859000.0,,1859000.0,1859000.0,1859000.0,,1859000.0,1859000.0,1859000.0,,1859000.0,1859000.0,1859000.0,,1859000.0,1859000.0,1859000.0,1859000.0,289000.0,,,,,,,,,,
