linea,etiqueta,tag_gaap,subtotal,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-03-31,2022-12-31,2022-03-31,2021-12-31,2021-03-31,2020-12-31,2020-03-31,2019-12-31,2019-03-31
flujo_operacion,Flujo de efectivo de operación,NetCashProvidedByUsedInOperatingActivities,True,145156000.0,111315000.0,,,126657000.0,91397000.0,,,99150000.0,98010000.0,94171000.0,93176000.0,61467000.0,60348000.0,45795000.0,52101000.0,28696000.0,38164000.0,23507000.0
compensacion_en_acciones,Compensación basada en acciones,ShareBasedCompensation,False,3534000.0,3297000.0,,,3129000.0,2812000.0,,,2425000.0,2158000.0,1831000.0,1572000.0,1635000.0,1317000.0,1499000.0,1231000.0,1014000.0,1008000.0,913000.0
adquisicion_inmuebles,Adquisición de inmuebles,PaymentsToAcquireRealEstate,False,412335000.0,348423000.0,,,359684000.0,345311000.0,,,128343000.0,195843000.0,303382000.0,412387000.0,413098000.0,317825000.0,397044000.0,361722000.0,229586000.0,139621000.0,142269000.0
desarrollo_inmuebles,Desarrollo y mejoras,PaymentsToDevelopRealEstateAssets,False,,184776000.0,219789000.0,216657000.0,214873000.0,199455000.0,128578000.0,126440000.0,83211000.0,5750000.0,27687000.0,20907000.0,33291000.0,8734000.0,,5274000.0,1217000.0,10548000.0,6116000.0
venta_inmuebles,Producto de venta de inmuebles,ProceedsFromSaleOfProductiveAssets,False,10065000.0,19295000.0,,,2383000.0,30758000.0,,,21116000.0,10576000.0,0.0,991000.0,7643000.0,9171000.0,8422000.0,1715000.0,24383000.0,30951000.0,9834000.0
flujo_inversion,Flujo de efectivo de inversión,NetCashProvidedByUsedInInvestingActivities,True,-430172000.0,-373007000.0,,,-380855000.0,-348340000.0,,,-121973000.0,-191297000.0,-331107000.0,-432434000.0,-438791000.0,-317418000.0,-387179000.0,-366120000.0,-206609000.0,-119337000.0,-138651000.0
emision_deuda,Disposición de deuda,ProceedsFromLinesOfCredit,False,12540741000.0,9806317000.0,,,474000000.0,474000000.0,,,200000000.0,226000000.0,385000000.0,110000000.0,330000000.0,160000000.0,,,,,52000000.0
pago_deuda,Amortización de deuda,RepaymentsOfLinesOfCredit,False,12391591000.0,9874817000.0,,,310000000.0,365000000.0,,,97000000.0,48000000.0,289000000.0,10000000.0,170000000.0,0.0,,,,,
emision_acciones,Emisión de acciones,ProceedsFromIssuanceOfCommonStock,False,0.0,428265000.0,,,183090000.0,227811000.0,,,0.0,-90000.0,195133000.0,105942000.0,250684000.0,93988000.0,258105000.0,266532000.0,104615000.0,195786000.0,57845000.0
dividendos_pagados,Dividendos pagados,PaymentsOfDividendsCommonStock,False,94930000.0,89462000.0,,,81873000.0,78263000.0,,,74705000.0,74083000.0,65198000.0,63241000.0,48771000.0,47163000.0,60957000.0,32314000.0,24811000.0,24155000.0,20838000.0
flujo_financiamiento,Flujo de efectivo de financiamiento,NetCashProvidedByUsedInFinancingActivities,True,295599000.0,265436000.0,,,258968000.0,250105000.0,,,23733000.0,101424000.0,220967000.0,116653000.0,357840000.0,199512000.0,340798000.0,305744000.0,227896000.0,112528000.0,86518000.0
cambio_neto_efectivo,Variación neta de efectivo,CashAndCashEquivalentsPeriodIncreaseDecrease,True,,,,,,,,,,,,,,,,,,,-28626000.0
