linea,etiqueta,tag_gaap,subtotal,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31
inmuebles_bruto,"Inmuebles, costo",RealEstateInvestmentPropertyAtCost,False,7765095000.0,7525877000.0,7166998000.0,6934435000.0,6592601000.0,6309062000.0,6029433000.0,5758823000.0,5471324000.0,5146237000.0,4915246000.0,4634131000.0,4452095000.0,4214485000.0,4055385000.0,3817425000.0,3675836000.0,3562762000.0,3355561000.0,3129088000.0,2906107000.0,2699434000.0,2528673000.0,2320405000.0,2192614000.0,2148557000.0,2002314000.0,1817789000.0,1660235000.0,1500050000.0
depreciacion_acumulada,Depreciación acumulada,RealEstateInvestmentPropertyAccumulatedDepreciation,False,632000000.0,595500000.0,556700000.0,523100000.0,487900000.0,457500000.0,425300000.0,400400000.0,373300000.0,347400000.0,321900000.0,303600000.0,280500000.0,260700000.0,238200000.0,225300000.0,206400000.0,189700000.0,169100000.0,155100000.0,139700000.0,126500000.0,112100000.0,103100000.0,92900000.0,81300000.0,71600000.0,62000000.0,53000000.0,45300000.0
inmuebles_neto,"Inmuebles, neto",RealEstateInvestmentPropertyNet,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500000.0,3800000.0
efectivo,Efectivo y equivalentes,CashAndCashEquivalentsAtCarryingValue,False,126165000.0,15176000.0,60181000.0,23842000.0,20777000.0,47003000.0,40713000.0,32656000.0,23557000.0,79161000.0,39807000.0,36106000.0,14108000.0,70958000.0,62345000.0,136303000.0,17993000.0,14255000.0,59758000.0,27509000.0,126465000.0,42842000.0,26602000.0,183765000.0,100839000.0,192616000.0,8304000.0,23446000.0,7816000.0,109113000.0
intangibles_arrendamiento,Intangibles de arrendamiento,IntangibleAssetsNetExcludingGoodwill,False,65416000.0,60571000.0,48121000.0,51566000.0,51624000.0,50566000.0,47593000.0,49610000.0,44031000.0,46077000.0,47857000.0,47785000.0,49570000.0,51216000.0,53230000.0,55589000.0,54595000.0,57115000.0,59010000.0,59744000.0,59258000.0,58744000.0,57445000.0,56908000.0,58574000.0,61245000.0,60499000.0,57472000.0,58107000.0,53860000.0
prestamos_por_cobrar,Préstamos por cobrar,FinancingReceivableExcludingAccruedInterestAfterAllowanceForCreditLoss,False,457107000.0,447690000.0,401323000.0,403347000.0,371614000.0,354716000.0,352066000.0,336210000.0,294982000.0,235905000.0,223854000.0,227114000.0,227405000.0,231731000.0,240035000.0,204742000.0,194963000.0,223168000.0,189287000.0,237117000.0,237648000.0,,152220000.0,,,,,,,
activos_otros,Otros activos,OtherAssets,False,,,,,,,,,,,,,,,,,,,,,,,,31207000.0,27072000.0,,15959000.0,,,
activos_totales,Activos totales,Assets,True,7490313000.0,7153123000.0,6863023000.0,6610027000.0,6289589000.0,6056913000.0,5798682000.0,5532055000.0,5267197000.0,5013445000.0,4768261000.0,4512181000.0,4312822000.0,4136347000.0,4000033000.0,3853545000.0,3587476000.0,3465879000.0,3298795000.0,3053687000.0,2948674000.0,2662717000.0,2488802000.0,2451739000.0,2247242000.0,2305446000.0,1975447000.0,1805478000.0,1643303000.0,1580530000.0
notas_senior,Notas senior no garantizadas,UnsecuredDebt,False,1726971000.0,1725991000.0,1725010000.0,1724055000.0,1723074000.0,1722094000.0,1721114000.0,1720158000.0,1273958000.0,1273365000.0,1272772000.0,1197155000.0,1026053000.0,1025773000.0,1025492000.0,875239000.0,628209000.0,628055000.0,626983000.0,626805000.0,626628000.0,626450000.0,626272000.0,626119000.0,625941000.0,625770000.0,445586000.0,199144000.0,199097000.0,
linea_de_credito,Línea de crédito revolvente,LineOfCredit,False,0.0,100000000.0,0.0,120000000.0,200000000.0,0.0,0.0,80000000.0,245000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218000000.0,147000000.0,144000000.0,0.0,0.0,138000000.0,18000000.0,0.0,0.0,65000000.0,46000000.0,155000000.0,67000000.0,0.0
deuda_total,Deuda total,LongTermDebt,True,2930000000.0,2630000000.0,2530000000.0,2650000000.0,2330000000.0,2130000000.0,2130000000.0,2210000000.0,1925000000.0,1680000000.0,1680000000.0,1605000000.0,1430000000.0,1430000000.0,1430000000.0,1280000000.0,1248000000.0,1177000000.0,1174000000.0,1030000000.0,1030000000.0,940191000.0,821193000.0,804182000.0,175159000.0,176124000.0,239102000.0,310571000.0,311729000.0,513155000.0
