linea,etiqueta,tag_gaap,subtotal,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
ingreso_rentas,Ingresos por arrendamiento,OperatingLeaseLeaseIncome,False,532838000.0,428364000.0,342330000.0,272326000.0,212149000.0,166512000.0,137161000.0
ingreso_renta_variable,Renta variable sobre ventas,OperatingLeaseVariableLeaseIncome,False,5329000.0,4051000.0,3610000.0,1632000.0,1708000.0,1341000.0,2282000.0
ingreso_otros,Otros ingresos,OtherIncome,False,2060000.0,452000.0,1570000.0,1180000.0,1197000.0,81000.0,663000.0
ingresos_totales,Ingresos totales,Revenues,True,561219000.0,449610000.0,359595000.0,286506000.0,230234000.0,164009000.0,139357000.0
depreciacion_amortizacion,Depreciación y amortización,DepreciationAndAmortization,False,153602000.0,122161000.0,102219000.0,88562000.0,69146000.0,59446000.0,42745000.0
gasto_administracion,Gastos generales y de administración,GeneralAndAdministrativeExpense,False,40864000.0,35161000.0,30678000.0,29464000.0,24329000.0,24444000.0,21745000.0
deterioro,Deterioro de activos,AssetImpairmentCharges,False,11997000.0,14845000.0,3548000.0,20164000.0,6120000.0,8399000.0,2918000.0
gastos_totales,Gastos totales,CostsAndExpenses,True,214147000.0,177394000.0,141009000.0,141730000.0,105153000.0,97000000.0,70478000.0
utilidad_operativa,Utilidad de operación,OperatingIncomeLoss,True,359921000.0,278193000.0,242753000.0,175423000.0,134419000.0,72830000.0,79811000.0
gasto_intereses,Gasto por intereses,InterestExpense,False,,,52597000.0,40370000.0,33614000.0,29651000.0,27037000.0
ganancia_venta_inmuebles,Ganancia por venta de inmuebles,GainsLossesOnSalesOfInvestmentRealEstate,False,12849000.0,5977000.0,24167000.0,30647000.0,9338000.0,5821000.0,10932000.0
utilidad_antes_impuestos,Utilidad antes de impuestos,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,True,254375000.0,204266000.0,192051000.0,135740000.0,96438000.0,42740000.0,48328000.0
impuestos,Impuesto a la utilidad,IncomeTaxExpenseBenefit,False,644000.0,628000.0,636000.0,998000.0,227000.0,212000.0,303000.0
utilidad_neta,Utilidad neta,ProfitLoss,True,253731000.0,203638000.0,191415000.0,134742000.0,96211000.0,42528000.0,48025000.0
utilidad_minoritarios,Participación no controladora,NetIncomeLossAttributableToNoncontrollingInterest,False,718000.0,634000.0,708000.0,612000.0,486000.0,255000.0,6181000.0
utilidad_neta_comun,Utilidad neta atribuible a comunes,NetIncomeLossAvailableToCommonStockholdersBasic,True,252120000.0,202532000.0,190300000.0,133756000.0,95414000.0,41869000.0,41351000.0
utilidad_por_accion_basica,"Utilidad por acción, básica",EarningsPerShareBasic,False,1.29,1.16,1.25,0.99,0.82,0.44,0.65
utilidad_por_accion_diluida,"Utilidad por acción, diluida",EarningsPerShareDiluted,False,1.28,1.15,1.24,0.99,0.82,0.44,0.63
acciones_basicas,"Acciones promedio, básicas",WeightedAverageNumberOfSharesOutstandingBasic,False,196051237.0,173855427.0,152140735.0,134941188.0,116358059.0,95311035.0,64104058.0
acciones_diluidas,"Acciones promedio, diluidas",WeightedAverageNumberOfDilutedSharesOutstanding,False,198054768.0,177115170.0,153521854.0,135855916.0,117466338.0,96197705.0,75309896.0
dividendo_declarado_por_accion,Dividendo declarado por acción,CommonStockDividendsPerShareDeclared,False,,,,,,,0.88
