linea,etiqueta,tag_gaap,subtotal,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31
ingreso_rentas,Ingresos por arrendamiento,OperatingLeaseLeaseIncome,False,154979000.0,151129000.0,141166000.0,138429000.0,129602000.0,123641000.0,113749000.0,111592000.0,104230000.0,98792000.0,93692000.0,87643000.0,82799000.0,78195000.0,71723000.0,68333000.0,67498000.0,65773000.0,58905000.0,55084000.0,51447000.0,46712000.0,42967000.0,40546000.0,42230000.0,40769000.0,38484000.0,35232000.0,32391000.0,31054000.0
ingreso_renta_variable,Renta variable sobre ventas,OperatingLeaseVariableLeaseIncome,False,778000.0,897000.0,977000.0,1427000.0,1189000.0,1736000.0,1099000.0,1457000.0,709000.0,786000.0,1044000.0,980000.0,856000.0,730000.0,-356000.0,705000.0,624000.0,660000.0,8000.0,616000.0,460000.0,623000.0,402000.0,171000.0,402000.0,366000.0,292000.0,474000.0,423000.0,1093000.0
ingreso_otros,Otros ingresos,OtherIncome,False,970000.0,779000.0,1380000.0,261000.0,381000.0,37000.0,18000.0,143000.0,41000.0,251000.0,217000.0,120000.0,163000.0,1069000.0,166000.0,419000.0,408000.0,187000.0,1047000.0,98000.0,37000.0,15000.0,17000.0,56000.0,1000.0,7000.0,22000.0,393000.0,241000.0,7000.0
ingresos_totales,Ingresos totales,Revenues,True,161888000.0,158798000.0,149867000.0,144934000.0,137062000.0,129354000.0,119709000.0,117132000.0,109268000.0,103501000.0,97734000.0,91657000.0,86516000.0,83687000.0,74276000.0,70663000.0,71446000.0,70121000.0,65015000.0,59601000.0,57066000.0,48552000.0,41111000.0,42909000.0,38503000.0,41487000.0,39204000.0,36291000.0,32755000.0,31107000.0
depreciacion_amortizacion,Depreciación y amortización,DepreciationAndAmortization,False,46130000.0,43189000.0,41043000.0,38976000.0,38590000.0,34993000.0,32829000.0,30879000.0,29927000.0,28525000.0,27440000.0,26212000.0,24742000.0,23824000.0,24121000.0,22054000.0,22074000.0,20313000.0,18961000.0,17355000.0,17184000.0,15646000.0,19004000.0,13966000.0,13464000.0,13012000.0,12378000.0,11141000.0,10105000.0,9120000.0
gasto_administracion,Gastos generales y de administración,GeneralAndAdministrativeExpense,False,10913000.0,12327000.0,8441000.0,10211000.0,10670000.0,11543000.0,8470000.0,8623000.0,8710000.0,9358000.0,7335000.0,7174000.0,7585000.0,8583000.0,6508000.0,7868000.0,7026000.0,8063000.0,5832000.0,5596000.0,6470000.0,6431000.0,4738000.0,5917000.0,6253000.0,7536000.0,5290000.0,7530000.0,4737000.0,4188000.0
deterioro,Deterioro de activos,AssetImpairmentCharges,False,1365000.0,16830000.0,4063000.0,1439000.0,612000.0,5883000.0,2586000.0,5695000.0,2812000.0,3752000.0,1903000.0,165000.0,802000.0,677000.0,9623000.0,349000.0,6258000.0,3935000.0,0.0,0.0,398000.0,5722000.0,3319000.0,3221000.0,1486000.0,373000.0,997000.0,0.0,481000.0,1440000.0
gastos_totales,Gastos totales,CostsAndExpenses,True,62124000.0,74463000.0,55544000.0,52559000.0,51325000.0,54720000.0,45178000.0,46979000.0,42605000.0,42630000.0,37981000.0,34847000.0,34281000.0,33897000.0,40988000.0,31071000.0,36293000.0,33380000.0,26517000.0,24325000.0,25060000.0,29251000.0,29486000.0,23928000.0,21823000.0,21762000.0,-673000.0,26320000.0,21747000.0,23084000.0
utilidad_operativa,Utilidad de operación,OperatingIncomeLoss,True,104418000.0,89647000.0,98751000.0,93736000.0,87813000.0,79618000.0,79106000.0,69910000.0,66797000.0,62383000.0,64600000.0,58669000.0,64782000.0,54704000.0,45853000.0,45921000.0,45247000.0,38399000.0,38995000.0,36619000.0,35716000.0,23089000.0,13473000.0,19984000.0,17773000.0,21600000.0,42573000.0,14058000.0,14482000.0,8699000.0
gasto_intereses,Gasto por intereses,InterestExpense,False,,,,,,,,,,15597000.0,15760000.0,12633000.0,12071000.0,12133000.0,12128000.0,9892000.0,9190000.0,9160000.0,9170000.0,8955000.0,7811000.0,7678000.0,7764000.0,7651000.0,7403000.0,6833000.0,6963000.0,7207000.0,5779000.0,7089000.0
ganancia_venta_inmuebles,Ganancia por venta de inmuebles,GainsLossesOnSalesOfInvestmentRealEstate,False,4654000.0,5312000.0,4428000.0,1361000.0,2076000.0,4984000.0,4575000.0,-243000.0,134000.0,1512000.0,4847000.0,1859000.0,12547000.0,4914000.0,12565000.0,6329000.0,10094000.0,1658000.0,497000.0,1343000.0,3710000.0,3788000.0,1850000.0,1003000.0,1093000.0,1875000.0,2695000.0,4087000.0,3474000.0,676000.0
utilidad_antes_impuestos,Utilidad antes de impuestos,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,True,75116000.0,60110000.0,68437000.0,65970000.0,63526000.0,56439000.0,55707000.0,49452000.0,51831000.0,47279000.0,49435000.0,46250000.0,53159000.0,43209000.0,35750000.0,36781000.0,36087000.0,27119000.0,29845000.0,27701000.0,23461000.0,15431000.0,5761000.0,12391000.0,,,,,,
