linea,etiqueta,tag_gaap,subtotal,2026-03-31,2025-12-31,2025-03-31,2024-12-31,2024-03-31,2023-12-31,2023-03-31,2022-12-31,2022-03-31,2021-12-31,2021-03-31,2020-12-31,2020-03-31,2019-12-31,2019-03-31
flujo_operacion,Flujo de efectivo de operación,NetCashProvidedByUsedInOperatingActivities,True,99761000.0,105147000.0,77163000.0,87069000.0,66752000.0,72592000.0,53686000.0,56445000.0,44108000.0,51883000.0,30135000.0,30620000.0,26349000.0,27657000.0,16982000.0
adquisicion_inmuebles,Adquisición de inmuebles,PaymentsToAcquireProductiveAssets,False,,,,,,,,,,,,,,,1276000.0
venta_inmuebles,Producto de venta de inmuebles,ProceedsFromSaleOfRealEstateHeldforinvestment,False,9791000.0,48052000.0,22718000.0,60737000.0,16469000.0,21139000.0,36636000.0,46583000.0,18531000.0,4473000.0,24257000.0,40290000.0,19601000.0,15053000.0,10481000.0
flujo_inversion,Flujo de efectivo de inversión,NetCashProvidedByUsedInInvestingActivities,True,-372958000.0,-237262000.0,-284109000.0,-274679000.0,-230723000.0,-286908000.0,-159197000.0,-240054000.0,-211565000.0,-225390000.0,-175344000.0,-212783000.0,-148182000.0,-182428000.0,-105748000.0
emision_deuda,Disposición de deuda,ProceedsFromLinesOfCredit,False,290000000.0,190000000.0,155000000.0,130000000.0,0.0,0.0,0.0,0.0,148000000.0,214000000.0,120000000.0,18000000.0,69000000.0,181000000.0,52000000.0
pago_deuda,Amortización de deuda,RepaymentsOfLinesOfCredit,False,190000000.0,310000000.0,155000000.0,210000000.0,0.0,0.0,0.0,0.0,145000000.0,70000000.0,0.0,0.0,50000000.0,290000000.0,86000000.0
emision_acciones,Emisión de acciones,ProceedsFromIssuanceOfCommonStock,False,192725000.0,358780000.0,278623000.0,325508000.0,244735000.0,190600000.0,147241000.0,-30000.0,158338000.0,92447000.0,64928000.0,34298000.0,198162000.0,101867000.0,235704000.0
dividendos_pagados,Dividendos pagados,PaymentsOfDividends,False,65391000.0,59838000.0,55608000.0,51121000.0,47182000.0,43945000.0,39398000.0,38682000.0,32610000.0,30535000.0,25703000.0,24242000.0,19395000.0,17652000.0,13189000.0
flujo_financiamiento,Flujo de efectivo de financiamiento,NetCashProvidedByUsedInFinancingActivities,True,219001000.0,178638000.0,208971000.0,193877000.0,194172000.0,221261000.0,104969000.0,110881000.0,121954000.0,205756000.0,157035000.0,25784000.0,314586000.0,149868000.0,186550000.0
cambio_neto_efectivo,Variación neta de efectivo,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,True,-54196000.0,46523000.0,2025000.0,6267000.0,30201000.0,6945000.0,-542000.0,-72728000.0,-45503000.0,32249000.0,11826000.0,-156379000.0,192753000.0,-4903000.0,97784000.0
