linea,etiqueta,tag_gaap,subtotal,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31
inmuebles_bruto,"Inmuebles, costo",RealEstateInvestmentPropertyAtCost,False,29142694000.0,28976846000.0,28883386000.0,28648483000.0,28638145000.0,28066278000.0,27825470000.0,27450247000.0,27197669000.0,27171005000.0,27061533000.0,26874270000.0,12258835000.0,12160260000.0,12084191000.0,11884522000.0,11072315000.0,10797048000.0,10643151000.0,,,,9507788000.0,,,,9129559000.0,,,
depreciacion_acumulada,Depreciación acumulada,RealEstateInvestmentPropertyAccumulatedDepreciation,False,4330467000.0,4156137000.0,3982125000.0,3828434000.0,3661376000.0,3494166000.0,3339136000.0,3168088000.0,2984371000.0,2802341000.0,2624405000.0,2440327000.0,2295568000.0,2218705000.0,2138524000.0,2061814000.0,1992922000.0,1929716000.0,1867750000.0,,,,1681429000.0,,,,1473852000.0,,,
inmuebles_neto,"Inmuebles, neto",RealEstateInvestmentPropertyNet,True,24938444000.0,24926765000.0,25004350000.0,24926700000.0,25099810000.0,24683924000.0,24587627000.0,24385492000.0,24340817000.0,24494676000.0,24555873000.0,24556678000.0,10017351000.0,9991446000.0,9997978000.0,9877080000.0,9135464000.0,8940724000.0,8834649000.0,8272671000.0,8113074000.0,7944395000.0,7893802000.0,7755947000.0,7673724000.0,7689621000.0,7696864000.0,7665567000.0,7667033000.0,7688617000.0
efectivo,Efectivo y equivalentes,CashAndCashEquivalentsAtCarryingValue,False,695171000.0,138986000.0,138920000.0,111931000.0,125045000.0,119559000.0,138222000.0,88931000.0,76973000.0,50816000.0,99062000.0,216121000.0,50644000.0,47951000.0,92868000.0,86991000.0,58729000.0,65978000.0,71126000.0,65565000.0,56006000.0,60330000.0,109124000.0,74803000.0,56397000.0,93297000.0,65746000.0,62277000.0,47667000.0,38988000.0
efectivo_restringido,Efectivo restringido,RestrictedCashAndCashEquivalents,False,,,,,,,,,,,,,,,,7363000.0,11437000.0,6688000.0,5068000.0,15717000.0,3743000.0,2465000.0,18885000.0,5771000.0,5354000.0,4633000.0,4987000.0,4438000.0,7977000.0,7840000.0
cuentas_por_cobrar,Cuentas por cobrar,AccountsReceivableNet,False,114679000.0,115380000.0,142120000.0,133086000.0,134842000.0,116059000.0,129748000.0,112748000.0,164060000.0,137170000.0,134716000.0,131614000.0,99971000.0,84682000.0,85937000.0,79333000.0,73983000.0,,83050000.0,,,,,,,,,,,
intangibles_arrendamiento,Intangibles de arrendamiento,FiniteLivedIntangibleAssetsNet,False,1676000.0,6635000.0,11593000.0,16552000.0,21511000.0,26469000.0,32206000.0,39498000.0,47498000.0,56915000.0,66332000.0,75749000.0,,,0.0,,,,,,,,,,,,,,,
goodwill,Crédito mercantil,Goodwill,False,170811000.0,170811000.0,170811000.0,170811000.0,170811000.0,170811000.0,170811000.0,170811000.0,170811000.0,170811000.0,170811000.0,170811000.0,170811000.0,170811000.0,170811000.0,170811000.0,170811000.0,,0.0,,,,,,,,,,,
activos_otros,Otros activos,OtherAssets,False,477723000.0,467877000.0,515291000.0,547172000.0,484748000.0,508729000.0,548986000.0,495861000.0,617631000.0,587150000.0,597700000.0,635677000.0,438403000.0,402259000.0,414426000.0,414873000.0,353967000.0,172001000.0,164240000.0,145342000.0,126331000.0,133267000.0,130611000.0,320643000.0,188938000.0,159850000.0,118497000.0,141388000.0,272083000.0,141842000.0
activos_totales,Activos totales,Assets,True,29660493000.0,29099370000.0,29264046000.0,29232969000.0,29368011000.0,28993918000.0,28847926000.0,28063117000.0,27762080000.0,27480120000.0,27456262000.0,27625818000.0,12365453000.0,12132669000.0,12167458000.0,11840645000.0,11038767000.0,10591750000.0,10474477000.0,9708359000.0,9463092000.0,9336612000.0,9395848000.0,8761104000.0,8529894000.0,8549486000.0,8532377000.0,8318430000.0,8390719000.0,8132514000.0
