linea,etiqueta,tag_gaap,subtotal,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31
ingreso_rentas,Ingresos por arrendamiento,LeaseIncome,False,746164000.0,733213000.0,734225000.0,735581000.0,721004000.0,704380000.0,707234000.0,710874000.0,697100000.0,688044000.0,696982000.0,650887000.0,440747000.0,433962000.0,438096000.0,428787000.0,408044000.0,379808000.0,364542000.0,351355000.0,321500000.0,303593000.0,301084000.0,290423000.0,279312000.0,286703000.0,288673000.0,290917000.0,279584000.0,271003000.0
ingresos_totales,Ingresos totales,Revenues,True,874152000.0,856027000.0,857467000.0,858460000.0,841618000.0,819997000.0,821896000.0,824804000.0,810663000.0,799539000.0,797774000.0,748034000.0,511386000.0,503050000.0,506718000.0,498902000.0,474988000.0,443562000.0,427383000.0,412492000.0,378630000.0,358857000.0,353490000.0,343024000.0,327246000.0,332452000.0,335801000.0,337505000.0,323602000.0,311546000.0
depreciacion_amortizacion,Depreciación y amortización,DepreciationDepletionAndAmortization,False,185610000.0,185795000.0,180089000.0,177466000.0,177266000.0,180356000.0,196202000.0,195046000.0,194809000.0,196966000.0,196139000.0,152338000.0,79086000.0,78490000.0,79920000.0,71423000.0,69067000.0,67906000.0,62194000.0,61516000.0,59570000.0,58599000.0,,56412000.0,56018000.0,55275000.0,54741000.0,56051000.0,54406000.0,54659000.0
gasto_administracion,Gastos generales y de administración,GeneralAndAdministrativeExpense,False,47315000.0,46509000.0,51938000.0,43479000.0,44952000.0,45974000.0,44025000.0,39750000.0,39901000.0,43722000.0,39397000.0,37406000.0,34842000.0,34763000.0,35963000.0,32275000.0,31251000.0,29762000.0,27918000.0,24395000.0,26341000.0,23540000.0,24352000.0,23894000.0,25337000.0,23011000.0,20870000.0,22519000.0,23351000.0,22678000.0
gastos_totales,Gastos totales,CostsAndExpenses,True,481968000.0,488474000.0,480517000.0,474212000.0,466784000.0,467028000.0,479578000.0,461341000.0,451243000.0,463711000.0,464306000.0,448242000.0,238047000.0,239508000.0,237148000.0,229045000.0,213572000.0,208252000.0,192487000.0,186214000.0,181801000.0,181667000.0,175816000.0,179817000.0,177253000.0,175261000.0,171156000.0,174867000.0,165609000.0,163069000.0
utilidad_operativa,Utilidad de operación,OperatingIncomeLoss,True,392184000.0,367553000.0,370871000.0,279120000.0,373970000.0,388730000.0,380032000.0,302739000.0,304761000.0,335828000.0,333468000.0,299792000.0,273339000.0,263542000.0,269570000.0,269857000.0,275665000.0,235310000.0,311773000.0,226278000.0,196829000.0,241073000.0,195749000.0,163207000.0,149993000.0,157191000.0,164645000.0,162638000.0,159198000.0,148477000.0
gasto_intereses,Gasto por intereses,InterestExpense,False,,,,,,,,,,132887000.0,129665000.0,122899000.0,86372000.0,80099000.0,72922000.0,56245000.0,47466000.0,42538000.0,45578000.0,39670000.0,40240000.0,40695000.0,,42213000.0,41039000.0,44358000.0,,46908000.0,47448000.0,47360000.0
ingreso_intereses,Ingreso por intereses,InvestmentIncomeInterest,False,38777000.0,39543000.0,38649000.0,43588000.0,41998000.0,38967000.0,34676000.0,34947000.0,31226000.0,23573000.0,22250000.0,22092000.0,21077000.0,19438000.0,17248000.0,18125000.0,15060000.0,18989000.0,12832000.0,11729000.0,12838000.0,12304000.0,8704000.0,3145000.0,1669000.0,1674000.0,1562000.0,2799000.0,1718000.0,1388000.0
ganancia_venta_inmuebles,Ganancia por venta de inmuebles,GainsLossesOnSalesOfInvestmentRealEstate,False,,,,,,,,,,,,,,,0.0,,14200000.0,,,,,,,,,,,,,
resultado_no_consolidadas,Participación en no consolidadas,IncomeLossFromEquityMethodInvestments,False,15802000.0,15760000.0,16931000.0,15669000.0,16284000.0,19931000.0,18764000.0,16246000.0,17255000.0,15007000.0,16233000.0,15043000.0,13254000.0,10305000.0,10992000.0,11149000.0,10190000.0,9097000.0,8825000.0,8255000.0,8322000.0,6956000.0,,5605000.0,5044000.0,5043000.0,2819000.0,2704000.0,3121000.0,2630000.0
utilidad_antes_impuestos,Utilidad antes de impuestos,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,True,271506000.0,247242000.0,247734000.0,160972000.0,258070000.0,273985000.0,265072000.0,183826000.0,188001000.0,215809000.0,215495000.0,190757000.0,208044000.0,202881000.0,213896000.0,231737000.0,243259000.0,211761000.0,279027000.0,198337000.0,169427000.0,212682000.0,163437000.0,122906000.0,109390000.0,113298000.0,120188000.0,117343000.0,112283000.0,101343000.0
impuestos,Impuesto a la utilidad,IncomeTaxExpenseBenefit,False,12069000.0,10789000.0,8968000.0,11962000.0,11638000.0,8991000.0,6035000.0,10857000.0,9844000.0,6742000.0,4321000.0,6944000.0,5986000.0,4308000.0,5409000.0,6760000.0,5615000.0,3141000.0,3994000.0,6772000.0,5421000.0,4137000.0,3797000.0,4657000.0,3177000.0,2179000.0,2728000.0,4052000.0,2715000.0,1813000.0
utilidad_neta,Utilidad neta,ProfitLoss,True,275879000.0,252420000.0,300864000.0,174033000.0,262716000.0,284925000.0,277801000.0,202945000.0,195412000.0,224074000.0,227407000.0,198856000.0,215312000.0,208878000.0,219479000.0,236126000.0,247834000.0,217717000.0,283858000.0,199820000.0,178579000.0,215501000.0,166309000.0,123854000.0,111257000.0,116162000.0,120279000.0,115995000.0,112689000.0,102160000.0
utilidad_neta_comun,Utilidad neta atribuible a comunes,NetIncomeLoss,True,263471000.0,240977000.0,287395000.0,165998000.0,249731000.0,270875000.0,262487000.0,193210000.0,185872000.0,213112000.0,216134000.0,188350000.0,202410000.0,196304000.0,204260000.0,220719000.0,232130000.0,203579000.0,268427000.0,188276000.0,167948000.0,202998000.0,156056000.0,114633000.0,102911000.0,108179000.0,112282000.0,108087000.0,104828000.0,94770000.0
utilidad_por_accion_basica,"Utilidad por acción, básica",EarningsPerShareBasic,False,1.25,1.14,,0.78,1.18,1.28,,0.91,0.88,1.01,,0.96,1.5,1.46,,1.65,1.73,1.52,,1.41,1.25,1.54,,0.89,0.8,0.84,0.87,0.84,0.82,0.74
utilidad_por_accion_diluida,"Utilidad por acción, diluida",EarningsPerShareDiluted,False,1.25,1.14,,0.78,1.18,1.28,,0.91,0.88,1.01,,0.96,1.5,1.46,,1.65,1.73,1.51,,1.4,1.25,1.53,,0.88,0.8,0.83,0.86,0.83,0.81,0.74
acciones_basicas,"Acciones promedio, básicas",WeightedAverageNumberOfSharesOutstandingBasic,False,210962128.0,210896947.0,211646317.0,211963870.0,211940903.0,211850618.0,211733226.0,211698436.0,211584155.0,211283335.0,211531743.0,195324444.0,134832232.0,134511273.0,133919790.0,133913652.0,134192540.0,134180175.0,133906043.0,133809750.0,133756610.0,132007556.0,131031262.0,128862341.0,128932152.0,129288629.0,129323456.0,128776549.0,127585436.0,127037247.0
acciones_diluidas,"Acciones promedio, diluidas",WeightedAverageNumberOfDilutedSharesOutstanding,False,220362955.0,220322872.0,211646317.0,221304958.0,211940903.0,212052742.0,185777644.0,220298870.0,211587105.0,220018777.0,211535081.0,195328020.0,143529817.0,142940384.0,142022017.0,141504215.0,142737909.0,141581862.0,140499469.0,140425269.0,140407195.0,139676548.0,128140953.0,129871096.0,129082468.0,137139560.0,137242179.0,137318475.0,135654761.0,134289716.0
dividendo_declarado_por_accion,Dividendo declarado por acción,CommonStockDividendsPerShareCashPaid,False,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.62,1.5,1.5,1.5,1.5,1.25,1.25,1.0,1.0,0.8999999999999999,0.9,0.9,0.9,0.8999999999999999,0.9,0.9,0.86
