linea,etiqueta,tag_gaap,subtotal,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-03-31
flujo_operacion,Flujo de efectivo de operación,NetCashProvidedByUsedInOperatingActivities,True,,489855000.0,367797000.0,,,481404000.0,408279000.0,,,465556000.0,364515000.0,,,281649000.0,290118000.0,,,287465000.0,223168000.0,,,203880000.0,187965000.0,,,189256000.0,163220000.0,169339000.0
compensacion_en_acciones,Compensación basada en acciones,ShareBasedCompensation,False,,7606000.0,12797000.0,,,7167000.0,14574000.0,,,5912000.0,7051000.0,,,5499000.0,5955000.0,,,4542000.0,4656000.0,,,3652000.0,4965000.0,,,2980000.0,3064000.0,2954000.0
adquisicion_inmuebles,Adquisición de inmuebles,PaymentsToAcquireProductiveAssets,False,86804000.0,12360000.0,251015000.0,12945000.0,161738000.0,117075000.0,258094000.0,158237000.0,27644000.0,35084000.0,71000000.0,18578000.0,32888000.0,13111000.0,147312000.0,639106000.0,220933000.0,185910000.0,,185497000.0,190729000.0,148940000.0,,86996000.0,0.0,19354000.0,,
desarrollo_inmuebles,Desarrollo y mejoras,PaymentsToDevelopRealEstateAssets,False,,26419000.0,31958000.0,,,35237000.0,28111000.0,,,35825000.0,33648000.0,,,16762000.0,30367000.0,,,14716000.0,13507000.0,,,14086000.0,21188000.0,,,15373000.0,19304000.0,15846000.0
venta_inmuebles,Producto de venta de inmuebles,ProceedsFromSaleOfRealEstateHeldforinvestment,False,,6103000.0,199436000.0,,,124730000.0,120513000.0,,,0.0,0.0,,,39261000.0,0.0,,,0.0,376487000.0,,,132733000.0,43790000.0,,,0.0,0.0,
flujo_inversion,Flujo de efectivo de inversión,NetCashProvidedByUsedInInvestingActivities,True,,-47501000.0,-116551000.0,,,-342038000.0,-769417000.0,,,-282071000.0,-182204000.0,,,-86339000.0,-406205000.0,,,-121372000.0,-419748000.0,,,42595000.0,-591582000.0,,,-60573000.0,-265253000.0,-246975000.0
pago_deuda,Amortización de deuda,RepaymentsOfNotesPayable,False,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,30928000.0
emision_acciones,Emisión de acciones,ProceedsFromIssuanceOfCommonStock,False,,,,,,,,,,,,,,,0.0,,,0.0,-169000.0,,,273720000.0,103468000.0,,,0.0,-25000.0,
dividendos_pagados,Dividendos pagados,PaymentsOfDividendsCommonStock,False,,342753000.0,342368000.0,,,344203000.0,343959000.0,,,344208000.0,342272000.0,,,219988000.0,200882000.0,,,202527000.0,167403000.0,,,132540000.0,118065000.0,,,117197000.0,116579000.0,109523000.0
flujo_financiamiento,Flujo de efectivo de financiamiento,NetCashProvidedByUsedInFinancingActivities,True,,-442129000.0,-224300000.0,,,-159621000.0,410116000.0,,,-233182000.0,-300349000.0,,,-242603000.0,119468000.0,,,-169621000.0,191493000.0,,,-311689000.0,451052000.0,,,-101486000.0,106051000.0,51774000.0
cambio_neto_efectivo,Variación neta de efectivo,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,True,,225000.0,26946000.0,,,-20255000.0,48978000.0,,,-49697000.0,-118038000.0,,,-47293000.0,3381000.0,,,-3528000.0,-5087000.0,,,-65214000.0,47435000.0,,,27197000.0,4018000.0,-25862000.0
