linea,etiqueta,tag_gaap,subtotal,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31
inmuebles_bruto,"Inmuebles, costo",RealEstateInvestmentPropertyAtCost,False,4598398000.0,4690305000.0,4777606000.0,5193817000.0,5423324000.0,5378346000.0,5621942000.0,7907749000.0,8206946000.0,8486496000.0,8656144000.0,8637214000.0,4617973000.0,4606990000.0,4486749000.0,4363287000.0,4524284000.0,4617009000.0,4691348000.0,4583531000.0,4566297000.0,4295238000.0,4318954000.0,3951201000.0,3872999000.0,3827862000.0,3763264000.0,3501036000.0,3497416000.0,3414205000.0
depreciacion_acumulada,Depreciación acumulada,RealEstateInvestmentPropertyAccumulatedDepreciation,False,989221000.0,976371000.0,966982000.0,1018125000.0,1056957000.0,1016159000.0,999909000.0,1138714000.0,1128555000.0,1068106000.0,1083824000.0,1003597000.0,963745000.0,936182000.0,891479000.0,828682000.0,828751000.0,810182000.0,810686000.0,782025000.0,753749000.0,710902000.0,675200000.0,625098000.0,579650000.0,543062000.0,517123000.0,499507000.0,481639000.0,467657000.0
inmuebles_neto,"Inmuebles, neto",RealEstateInvestmentPropertyNet,True,3609177000.0,3713934000.0,3810624000.0,4175692000.0,4366367000.0,4362187000.0,4622033000.0,6769035000.0,7078391000.0,7418390000.0,7572320000.0,7633617000.0,3654228000.0,3670808000.0,3595270000.0,3534605000.0,3695533000.0,3806827000.0,3880662000.0,3801506000.0,3812548000.0,3584336000.0,3643754000.0,3326103000.0,3293349000.0,3284800000.0,3246141000.0,3001529000.0,3015777000.0,2946548000.0
efectivo,Efectivo y equivalentes,CashAndCashEquivalentsAtCarryingValue,False,153640000.0,125479000.0,180114000.0,165095000.0,144809000.0,147047000.0,159698000.0,127249000.0,122181000.0,131880000.0,121566000.0,133439000.0,100918000.0,119161000.0,103335000.0,128014000.0,111211000.0,123502000.0,89668000.0,176393000.0,174862000.0,262868000.0,124245000.0,300000000.0,316824000.0,343447000.0,270302000.0,305962000.0,178722000.0,95267000.0
efectivo_restringido,Efectivo restringido,RestrictedCashAndCashEquivalents,False,14352000.0,11979000.0,13949000.0,37514000.0,37339000.0,59144000.0,64510000.0,53526000.0,50312000.0,51817000.0,40833000.0,44998000.0,4268000.0,1432000.0,1110000.0,6634000.0,5926000.0,4572000.0,3643000.0,2666000.0,2053000.0,1352000.0,1448000.0,808000.0,758000.0,4355000.0,3985000.0,3950000.0,12953000.0,3368000.0
intangibles_arrendamiento,Intangibles de arrendamiento,FiniteLivedIntangibleAssetsNet,False,,,257574000.0,,,,377673000.0,,,,891008000.0,,,,299766000.0,,,,369563000.0,,,,392639000.0,,,,401367000.0,,,
goodwill,Crédito mercantil,Goodwill,False,45516000.0,45628000.0,45898000.0,45983000.0,46009000.0,44842000.0,51370000.0,52255000.0,50020000.0,48540000.0,46976000.0,51018000.0,21556000.0,21550000.0,21362000.0,20355000.0,21075000.0,21808000.0,22060000.0,,,,,,,,,,,
activos_mantenidos_venta,Activos mantenidos para la venta,AssetsHeldForSaleNotPartOfDisposalGroup,False,33834000.0,19914000.0,49654000.0,33636000.0,37496000.0,171675000.0,17406000.0,9391000.0,4254000.0,14047000.0,3188000.0,1299000.0,,0.0,0.0,45125000.0,2244000.0,3360000.0,0.0,10433000.0,,,0.0,,,,0.0,,,
activos_totales,Activos totales,Assets,True,4066088000.0,4152300000.0,4347203000.0,4765170000.0,4984916000.0,5789334000.0,6955764000.0,7335870000.0,7612713000.0,7968796000.0,8098977000.0,8184713000.0,4001876000.0,4041496000.0,3961826000.0,3965568000.0,4044536000.0,4152740000.0,4182956000.0,4203054000.0,4241016000.0,4043857000.0,3967014000.0,3824471000.0,3792992000.0,3815353000.0,3701605000.0,3608599000.0,3494759000.0,3323761000.0
deuda_hipotecaria,Deuda hipotecaria,SecuredDebt,False,986880000.0,1222275000.0,1264604000.0,1305573000.0,1312718000.0,1774116000.0,1768608000.0,2273464000.0,2268801000.0,2481263000.0,2517868000.0,2571664000.0,995184000.0,1240795000.0,1233081000.0,1258179000.0,1345936000.0,1399713000.0,1430915000.0,1484890000.0,1487083000.0,1347484000.0,1363698000.0,1417712000.0,1303161000.0,1249308000.0,1272154000.0,1366818000.0,1286033000.0,1131072000.0
