linea,etiqueta,tag_gaap,subtotal,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31
ingresos_totales,Ingresos totales,Revenues,True,112475000.0,109286000.0,116953000.0,121013000.0,124905000.0,132415000.0,137783000.0,138666000.0,145464000.0,147880000.0,137417000.0,118168000.0,95844000.0,94332000.0,93948000.0,92599000.0,95177000.0,97133000.0,106516000.0,95758000.0,99564000.0,89390000.0,87042000.0,82711000.0,81109000.0,79242000.0,76685000.0,77942000.0,76119000.0,75468000.0
gasto_operacion_inmueble,Gastos de operación de inmuebles,DirectCostsOfLeasedAndRentedPropertyOrEquipment,False,13400000.0,12925000.0,12566000.0,12669000.0,12018000.0,13953000.0,15430000.0,15164000.0,15934000.0,17796000.0,13619000.0,13623000.0,9033000.0,8146000.0,9854000.0,7765000.0,7798000.0,7460000.0,10962000.0,6747000.0,7467000.0,7570000.0,9635000.0,7525000.0,7835000.0,7377000.0,5701000.0,8205000.0,7049000.0,7359000.0
depreciacion_amortizacion,Depreciación y amortización,DepreciationAndAmortization,False,41512000.0,41612000.0,44439000.0,44780000.0,45636000.0,56334000.0,50248000.0,52746000.0,56654000.0,57172000.0,55793000.0,49232000.0,37297000.0,37029000.0,36987000.0,37791000.0,39359000.0,39889000.0,42025000.0,41665000.0,39702000.0,39684000.0,35977000.0,35049000.0,33984000.0,33533000.0,31989000.0,31620000.0,31084000.0,31303000.0
gasto_administracion,Gastos generales y de administración,GeneralAndAdministrativeExpense,False,11884000.0,12144000.0,13377000.0,11834000.0,11339000.0,16203000.0,13012000.0,10937000.0,13746000.0,14663000.0,13882000.0,6977000.0,10683000.0,5660000.0,6108000.0,4060000.0,3675000.0,3894000.0,4991000.0,3911000.0,4201000.0,4128000.0,4250000.0,2641000.0,3412000.0,2961000.0,1334000.0,3250000.0,2318000.0,3206000.0
deterioro,Deterioro de activos,AssetImpairmentCharges,False,,,,,,,20100000.0,38600000.0,27400000.0,4300000.0,2978000.0,65706000.0,0.0,0.0,4500000.0,800000.0,16000000.0,230000.0,9619000.0,1199000.0,6707000.0,0.0,0.0,0.0,0.0,,0.0,6400000.0,,
gastos_totales,Gastos totales,CostsAndExpenses,True,80994000.0,86225000.0,106836000.0,129398000.0,84145000.0,158611000.0,102889000.0,121540000.0,117652000.0,96684000.0,91024000.0,213042000.0,91356000.0,63960000.0,70185000.0,63735000.0,80435000.0,64284000.0,80416000.0,66177000.0,70591000.0,63615000.0,61916000.0,56708000.0,56651000.0,55433000.0,50401000.0,60363000.0,51889000.0,
utilidad_operativa,Utilidad de operación,OperatingIncomeLoss,True,54731000.0,30940000.0,110742000.0,-14182000.0,42297000.0,-27874000.0,56283000.0,12846000.0,61926000.0,57064000.0,45405000.0,-95558000.0,4488000.0,30372000.0,23883000.0,29007000.0,14804000.0,32849000.0,26396000.0,30776000.0,28966000.0,25775000.0,25126000.0,26003000.0,24305000.0,23809000.0,35108000.0,24556000.0,31153000.0,24078000.0
gasto_intereses,Gasto por intereses,InterestExpense,False,,,,,,,,,,82753000.0,83575000.0,41161000.0,27710000.0,26965000.0,25731000.0,24207000.0,23449000.0,24123000.0,24101000.0,24858000.0,24018000.0,21368000.0,19158000.0,18677000.0,17529000.0,16440000.0,17194000.0,16154000.0,15689000.0,15162000.0
ganancia_venta_inmuebles,Ganancia por venta de inmuebles,GainsLossesOnSalesOfInvestmentRealEstate,False,23250000.0,7879000.0,100625000.0,-5797000.0,1537000.0,-1678000.0,21389000.0,-4280000.0,34114000.0,5868000.0,-988000.0,65700000.0,0.0,0.0,120000.0,143000.0,62000.0,,296000.0,1195000.0,-7000.0,,0.0,0.0,-153000.0,0.0,8824000.0,6977000.0,6923000.0,892000.0
otros_no_operativos,Otros resultados no operativos,OtherNonoperatingIncomeExpense,False,276000.0,174000.0,780000.0,1820000.0,1683000.0,48000.0,694000.0,76000.0,345000.0,-40000.0,-26000.0,119000.0,1650000.0,66000.0,127000.0,10000.0,549000.0,295000.0,180000.0,-158000.0,84000.0,15000.0,28000.0,142000.0,71000.0,48000.0,195000.0,-2000.0,19000.0,4000.0
