linea,etiqueta,tag_gaap,subtotal,2026-03-31,2025-12-31,2025-03-31,2024-12-31,2024-03-31,2023-12-31,2023-03-31,2022-12-31,2022-03-31,2021-12-31,2021-03-31,2020-12-31,2020-03-31,2019-12-31,2019-03-31
flujo_operacion,Flujo de efectivo de operación,NetCashProvidedByUsedInOperatingActivities,True,39676000.0,55562000.0,59167000.0,74799000.0,92186000.0,55792000.0,63015000.0,22214000.0,61819000.0,34430000.0,53220000.0,40523000.0,41895000.0,48150000.0,24751000.0
compensacion_en_acciones,Compensación basada en acciones,ShareBasedCompensation,False,4042000.0,3024000.0,3093000.0,2309000.0,1973000.0,1058000.0,2925000.0,2855000.0,2727000.0,2727000.0,2577000.0,2585000.0,2488000.0,2491000.0,2109000.0
adquisicion_inmuebles,Adquisición de inmuebles,PaymentsToAcquireCommercialRealEstate,False,,,,,,,,,,,,,,,23454000.0
venta_inmuebles,Producto de venta de inmuebles,ProceedsFromSaleOfRealEstateHeldforinvestment,False,63135000.0,404607000.0,910502000.0,255780000.0,43134000.0,72956000.0,0.0,48848000.0,,47559000.0,,0.0,0.0,146860000.0,9277000.0
flujo_inversion,Flujo de efectivo de inversión,NetCashProvidedByUsedInInvestingActivities,True,70017000.0,419860000.0,900746000.0,244552000.0,35158000.0,1881000.0,-88802000.0,30682000.0,-1782000.0,-126794000.0,-4447000.0,-292129000.0,-115947000.0,-112274000.0,-26642000.0
emision_deuda,Disposición de deuda,ProceedsFromLinesOfCredit,False,11561000.0,40000000.0,15000000.0,40000000.0,80000000.0,105000000.0,91040000.0,35092000.0,35000000.0,106679000.0,15000000.0,111112000.0,205000000.0,-30269000.0,26000000.0
pago_deuda,Amortización de deuda,RepaymentsOfLinesOfCredit,False,39663000.0,380996000.0,890170000.0,170000000.0,52726000.0,0.0,0.0,0.0,,0.0,,267372000.0,0.0,-124064000.0,130000000.0
emision_acciones,Emisión de acciones,ProceedsFromIssuanceOfCommonStock,False,,,,,,,,,,,,,,-182000.0,150198000.0
dividendos_pagados,Dividendos pagados,PaymentsOfDividendsCommonStock,False,41307000.0,42310000.0,63942000.0,63753000.0,81733000.0,81714000.0,41658000.0,41657000.0,41566000.0,41564000.0,36213000.0,35844000.0,47638000.0,47638000.0,43270000.0
flujo_financiamiento,Flujo de efectivo de financiamiento,NetCashProvidedByUsedInFinancingActivities,True,-165151000.0,-479524000.0,-975631000.0,-265008000.0,-107892000.0,-68029000.0,39539000.0,-90806000.0,-23351000.0,10506000.0,92752000.0,71231000.0,153539000.0,3930000.0,2387000.0
