linea,etiqueta,tag_gaap,subtotal,2026-06-30,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31
inmuebles_bruto,"Inmuebles, costo",RealEstateInvestmentPropertyAtCost,False,11742580000.0,11424000000.0,11353018000.0,11138001000.0,10959697000.0,10726270000.0,10552084000.0,10415550000.0,10348474000.0,10247628000.0,10050260000.0,9932451000.0,9772768000.0,9655247000.0,9396517000.0,9210327000.0,9093300000.0,8903421000.0,8864950000.0,8659049000.0,8600164000.0,8499395000.0,8417465000.0,8425323000.0,8433724000.0,8407439000.0,8217205000.0,8176523000.0,7925178000.0
depreciacion_acumulada,Depreciación acumulada,RealEstateInvestmentPropertyAccumulatedDepreciation,False,2340815000.0,2248856000.0,2216029000.0,2170211000.0,2123005000.0,2065316000.0,2012183000.0,1958444000.0,1913861000.0,1863451000.0,1813920000.0,1766177000.0,1713611000.0,1660308000.0,1610018000.0,1561310000.0,1517047000.0,1470062000.0,1434760000.0,1394185000.0,1358764000.0,1317407000.0,1276495000.0,1232107000.0,1187925000.0,1147795000.0,1109285000.0,1083623000.0,1043855000.0
inmuebles_neto,"Inmuebles, neto",RealEstateInvestmentPropertyNet,True,9463681000.0,9239542000.0,9204697000.0,9023171000.0,8898036000.0,8746168000.0,8625489000.0,8586936000.0,8586856000.0,8535851000.0,8346062000.0,8221192000.0,8111622000.0,8020814000.0,7826292000.0,7674508000.0,7591643000.0,7449846000.0,7442473000.0,7270513000.0,7249613000.0,7212655000.0,7167992000.0,7221418000.0,7285236000.0,7287082000.0,7121156000.0,7110598000.0,6900747000.0
efectivo,Efectivo y equivalentes,CashAndCashEquivalentsAtCarryingValue,False,4223000.0,5046000.0,157917000.0,5973000.0,5097000.0,8731000.0,173526000.0,2130000.0,1128000.0,1189000.0,77137000.0,2281000.0,3240000.0,2505000.0,3277000.0,3289000.0,53736000.0,171322000.0,543526000.0,249558000.0,311231000.0,267236000.0,294860000.0,224560000.0,217383000.0,1112000.0,353688000.0,2209000.0,80521000.0
renta_linea_recta_por_cobrar,Rentas por cobrar en línea recta,DeferredRentReceivablesNet,False,36672000.0,34914000.0,33897000.0,33594000.0,34245000.0,34005000.0,33849000.0,33956000.0,34404000.0,34611000.0,28777000.0,28422000.0,28145000.0,27795000.0,28231000.0,29065000.0,30727000.0,31942000.0,34341000.0,37870000.0,45450000.0,53958000.0,61754000.0,59459000.0,28592000.0,28897000.0,28570000.0,28198000.0,28120000.0
activos_otros,Otros activos,OtherAssets,False,94086000.0,86962000.0,73580000.0,74967000.0,72048000.0,71560000.0,73913000.0,76590000.0,77062000.0,79459000.0,82303000.0,84490000.0,85623000.0,81694000.0,85211000.0,84893000.0,85408000.0,87347000.0,92808000.0,93002000.0,93308000.0,92069000.0,94157000.0,98301000.0,100523000.0,97962000.0,97441000.0,98481000.0,92317000.0
activos_totales,Activos totales,Assets,True,9606523000.0,9379355000.0,9480106000.0,9148677000.0,9021718000.0,8872728000.0,8923643000.0,8727295000.0,8705742000.0,8661968000.0,8561308000.0,8345935000.0,8238114000.0,8146045000.0,7951847000.0,7804255000.0,7771813000.0,7751054000.0,8132945000.0,7675800000.0,7712203000.0,7637844000.0,7634697000.0,7632928000.0,7647050000.0,7434867000.0,7627684000.0,7252801000.0,7136988000.0
deuda_hipotecaria,Deuda hipotecaria,SecuredDebt,False,,,,,,,,,,0.0,0.0,0.0,9774000.0,9964000.0,10151000.0,10334000.0,10515000.0,10697000.0,10875000.0,11049000.0,11222000.0,11395000.0,11565000.0,11731000.0,11895000.0,12059000.0,12221000.0,12379000.0,12536000.0
linea_de_credito,Línea de crédito revolvente,LineOfCredit,False,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,133600000.0,,63200000.0,
pasivos_otros,Otros pasivos,OtherLiabilities,False,106525000.0,110072000.0,109357000.0,110994000.0,98896000.0,106951000.0,107025000.0,118635000.0,109264000.0,109593000.0,115321000.0,96410000.0,85305000.0,82663000.0,91037000.0,77409000.0,68749000.0,79002000.0,74360000.0,72839000.0,70172000.0,78217000.0,76063000.0,81200000.0,85959000.0,96578000.0,101393000.0,96113000.0,84431000.0
pasivos_totales,Pasivos totales,Liabilities,True,5145787000.0,4971053000.0,5059743000.0,4786272000.0,4665231000.0,4510453000.0,4554717000.0,4532373000.0,4530884000.0,4504511000.0,4403250000.0,4195701000.0,4103242000.0,4022543000.0,3944915000.0,3888729000.0,3874067000.0,3849391000.0,3872802000.0,3404922000.0,3424364000.0,3318540000.0,3347488000.0,3322128000.0,3346115000.0,3103185000.0,3001180000.0,3030350000.0,2984101000.0
capital_preferente,Capital preferente,PreferredStockValue,False,,,,,,,,,,,,,,,,,,0.0,345000000.0,345000000.0,345000000.0,345000000.0,,,,,,,
capital_comun,Capital social,CommonStockValue,False,1921000.0,1901000.0,1901000.0,1884000.0,1881000.0,1877000.0,1877000.0,1838000.0,1835000.0,1826000.0,1825000.0,1825000.0,1822000.0,1815000.0,1788000.0,1767000.0,1759000.0,1757000.0,1757000.0,1757000.0,1757000.0,1753000.0,1739000.0,1735000.0,1721000.0,1718000.0,1717000.0,1636000.0,1620000.0
prima_en_acciones,Prima en colocación de acciones,AdditionalPaidInCapital,False,5377445000.0,5295434000.0,5290592000.0,5217161000.0,5203561000.0,5197644000.0,5194330000.0,5012642000.0,4996698000.0,4971625000.0,4966872000.0,4963808000.0,4948024000.0,4928034000.0,4804856000.0,4705479000.0,4669590000.0,4662714000.0,4649161000.0,4644593000.0,4639680000.0,4633771000.0,4569085000.0,4554958000.0,4499255000.0,4495314000.0,4479600000.0,4042318000.0,3957835000.0
utilidades_retenidas,Utilidades retenidas (déficit),RetainedEarningsAccumulatedDeficit,False,-917959000.0,-882712000.0,-865171000.0,-849201000.0,-841164000.0,-829287000.0,-818862000.0,-810689000.0,-814196000.0,-805883000.0,-799900000.0,-804040000.0,-802999000.0,-793765000.0,-786526000.0,-777939000.0,-759232000.0,-747853000.0,-720241000.0,-705958000.0,-683525000.0,-644779000.0,-611537000.0,-573174000.0,-526684000.0,-499229000.0,-469646000.0,-443822000.0,-432845000.0
otro_resultado_integral,Otro resultado integral acumulado,AccumulatedOtherComprehensiveIncomeLossNetOfTax,False,-671000.0,-6321000.0,-6959000.0,-7439000.0,-7791000.0,-7959000.0,-8419000.0,-8869000.0,-9479000.0,-10111000.0,-10739000.0,-11359000.0,-11975000.0,-12582000.0,-13186000.0,-13781000.0,-14373000.0,-14956000.0,-15535000.0,-14516000.0,-15077000.0,-16445000.0,-17082000.0,-17724000.0,-18362000.0,-11128000.0,-17674000.0,-10183000.0,-6588000.0
