linea,etiqueta,tag_gaap,subtotal,2026-06-30,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31
ingreso_rentas,Ingresos por arrendamiento,LeaseIncome,False,242682000.0,237535000.0,229773000.0,226498000.0,230574000.0,218348000.0,218155000.0,216140000.0,214825000.0,215178000.0,204856000.0,202426000.0,203630000.0,198217000.0,193102000.0,190536000.0,189763000.0,186633000.0,180024000.0,178004000.0,179198000.0,162902000.0,157865000.0,163479000.0,174547000.0,173163000.0,168224000.0,164596000.0,163026000.0
ingresos_totales,Ingresos totales,Revenues,True,244266000.0,238398000.0,230159000.0,226802000.0,230854000.0,218482000.0,218564000.0,216813000.0,215407000.0,216231000.0,205132000.0,202640000.0,204108000.0,198520000.0,193471000.0,190783000.0,190279000.0,187261000.0,180357000.0,179011000.0,179778000.0,163284000.0,158633000.0,163701000.0,175063000.0,173576000.0,168607000.0,164792000.0,163712000.0
depreciacion_amortizacion,Depreciación y amortización,DepreciationAndAmortization,False,71025000.0,68221000.0,67252000.0,68349000.0,64617000.0,63194000.0,63369000.0,62503000.0,60615000.0,60079000.0,59523000.0,59875000.0,59148000.0,57322000.0,56388000.0,57444000.0,52680000.0,53389000.0,50976000.0,50875000.0,49980000.0,49095000.0,49404000.0,48936000.0,49188000.0,48102000.0,48348000.0,46241000.0,46180000.0
gasto_administracion,Gastos generales y de administración,GeneralAndAdministrativeExpense,False,14057000.0,11642000.0,11056000.0,11217000.0,13008000.0,8705000.0,11209000.0,11789000.0,12584000.0,10530000.0,10225000.0,10740000.0,12251000.0,10789000.0,10124000.0,9740000.0,11042000.0,9947000.0,11077000.0,11868000.0,11748000.0,9247000.0,9419000.0,9395000.0,10100000.0,10127000.0,8726000.0,9276000.0,9521000.0
deterioro,Deterioro de activos,ImpairmentOfRealEstate,False,8067000.0,15360000.0,7195000.0,4535000.0,1512000.0,3724000.0,760000.0,944000.0,1204000.0,2315000.0,1001000.0,34000.0,2640000.0,1088000.0,971000.0,4618000.0,1632000.0,7310000.0,4781000.0,7735000.0,2131000.0,4380000.0,5695000.0,21854000.0,5513000.0,10868000.0,10692000.0,7187000.0,3245000.0
gastos_totales,Gastos totales,OperatingExpenses,True,101995000.0,105476000.0,95452000.0,93204000.0,90815000.0,86831000.0,82779000.0,82167000.0,81907000.0,83806000.0,77457000.0,77846000.0,81383000.0,77009000.0,74010000.0,80706000.0,76234000.0,78223000.0,73441000.0,77119000.0,71622000.0,72586000.0,70863000.0,86508000.0,72472000.0,76438000.0,74523000.0,69379000.0,66091000.0
utilidad_operativa,Utilidad de operación,OperatingIncomeLoss,True,151376000.0,148561000.0,147277000.0,149796000.0,143852000.0,143734000.0,143550000.0,152267000.0,138321000.0,139688000.0,147667000.0,138724000.0,129025000.0,128298000.0,125350000.0,110852000.0,118037000.0,114197000.0,116389000.0,106073000.0,112437000.0,93299000.0,87918000.0,77912000.0,115361000.0,103893000.0,96145000.0,108415000.0,108066000.0
gasto_intereses,Gasto por intereses,InterestExpense,False,53487000.0,53572000.0,53378000.0,49282000.0,47723000.0,46880000.0,46491000.0,46577000.0,44069000.0,43389000.0,41524000.0,40094000.0,38891000.0,37665000.0,36962000.0,36739000.0,36699000.0,36684000.0,33518000.0,33085000.0,34587000.0,32084000.0,31924000.0,31753000.0,33670000.0,30307000.0,29948000.0,29811000.0,29957000.0
ingreso_intereses,Ingreso por intereses,InterestIncomeOperating,False,1584000.0,863000.0,386000.0,304000.0,280000.0,134000.0,409000.0,673000.0,582000.0,1053000.0,276000.0,214000.0,478000.0,303000.0,369000.0,247000.0,516000.0,628000.0,333000.0,1007000.0,580000.0,382000.0,768000.0,222000.0,516000.0,213000.0,383000.0,196000.0,686000.0
ganancia_venta_inmuebles,Ganancia por venta de inmuebles,GainsLossesOnSalesOfInvestmentRealEstate,False,9105000.0,15639000.0,12570000.0,16198000.0,3813000.0,12083000.0,7765000.0,17621000.0,4821000.0,7263000.0,19992000.0,13930000.0,6300000.0,6787000.0,5889000.0,775000.0,3992000.0,5159000.0,9473000.0,4181000.0,4281000.0,2601000.0,148000.0,719000.0,12770000.0,6955000.0,2061000.0,13002000.0,10445000.0
