linea,etiqueta,tag_gaap,subtotal,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31
inmuebles_bruto,"Inmuebles, costo",RealEstateInvestmentPropertyAtCost,False,64578700000.0,63093612000.0,62192439000.0,61047883000.0,60741911000.0,59417647000.0,58295055000.0,57749060000.0,56655868000.0,56462543000.0,49586404000.0,48015275000.0,46664237000.0,44128339000.0,42656586000.0,38833721000.0,37707118000.0,36807060000.0,35908928000.0,23682107000.0,22675854000.0,21843955000.0,21015638000.0,20185772000.0,19869731000.0,19812756000.0,19517916000.0,18148160000.0,17833539000.0,16929520000.0
depreciacion_acumulada,Depreciación acumulada,RealEstateInvestmentPropertyAccumulatedDepreciation,False,9466261000.0,9092291000.0,8778536000.0,8460230000.0,8143997000.0,7758675000.0,7381083000.0,7066449000.0,6693997000.0,6392472000.0,6072118000.0,5781056000.0,5485766000.0,5188105000.0,4904165000.0,4624243000.0,4387878000.0,4169539000.0,3949798000.0,3904327000.0,3775540000.0,3668269000.0,3549486000.0,3444099000.0,3367420000.0,3242175000.0,3117919000.0,3017204000.0,2911779000.0,2809690000.0
inmuebles_neto,"Inmuebles, neto",RealEstateInvestmentPropertyNet,True,55112439000.0,54001321000.0,53413903000.0,52587653000.0,52597914000.0,51658972000.0,50913972000.0,50682611000.0,49961871000.0,50070071000.0,43514286000.0,42234219000.0,41178471000.0,38940234000.0,37752421000.0,34209478000.0,33319240000.0,32637521000.0,31959130000.0,19777780000.0,18900314000.0,18175686000.0,17466152000.0,16741673000.0,16502311000.0,16570581000.0,16399997000.0,15130956000.0,14921760000.0,14119830000.0
efectivo,Efectivo y equivalentes,CashAndCashEquivalentsAtCarryingValue,False,552648000.0,373543000.0,434842000.0,417173000.0,800447000.0,319007000.0,444962000.0,396956000.0,442820000.0,680159000.0,232923000.0,344129000.0,253693000.0,164576000.0,171102000.0,187745000.0,172849000.0,151624000.0,258579000.0,516983000.0,231164000.0,183984000.0,824476000.0,724750000.0,35345000.0,41804000.0,54011000.0,236064000.0,27136000.0,2997000.0
efectivo_restringido,Efectivo restringido,RestrictedCashAndCashEquivalents,False,,,,,,,,,,,,,,,,,,,,,,,,,,,4529000.0,,1323000.0,9081000.0
cuentas_por_cobrar,Cuentas por cobrar,AccountsReceivableNet,False,1134987000.0,1117143000.0,1053487000.0,1006716000.0,962052000.0,952410000.0,877668000.0,835328000.0,788639000.0,789244000.0,710536000.0,678441000.0,620599000.0,617359000.0,543237000.0,529248000.0,500384000.0,468165000.0,426768000.0,341729000.0,327920000.0,307017000.0,285701000.0,261752000.0,255609000.0,185632000.0,181969000.0,163444000.0,165470000.0,151341000.0
renta_linea_recta_por_cobrar,Rentas por cobrar en línea recta,DeferredRentReceivablesNet,False,958829000.0,918236000.0,880341000.0,828754000.0,784286000.0,746757000.0,694844000.0,662569000.0,612934000.0,563589000.0,516692000.0,484423000.0,440939000.0,403702000.0,363993000.0,325190000.0,287891000.0,261302000.0,231943000.0,211522000.0,195860000.0,184743000.0,174074000.0,167470000.0,161033000.0,,147047000.0,,,
intangibles_arrendamiento,Intangibles de arrendamiento,FiniteLivedIntangibleAssetsNet,False,5616706000.0,5648504000.0,5717241000.0,5858799000.0,6034146000.0,6216454000.0,6322992000.0,6600058000.0,6730472000.0,7037328000.0,5017907000.0,5089293000.0,5238400000.0,5256795000.0,5168366000.0,5064322000.0,5154994000.0,5187280000.0,5275304000.0,2156008000.0,1969793000.0,1820146000.0,1710655000.0,1610457000.0,1508177000.0,1516819000.0,1493383000.0,1313798000.0,1308564000.0,1205147000.0
goodwill,Crédito mercantil,Goodwill,False,4932199000.0,4932199000.0,4932199000.0,4932199000.0,4932199000.0,4932199000.0,4932199000.0,4932199000.0,4931159000.0,4991342000.0,3731478000.0,3731478000.0,3731478000.0,3731478000.0,3731478000.0,3731478000.0,3731478000.0,3711981000.0,3676705000.0,13947000.0,14017000.0,14114000.0,14180000.0,14282000.0,14383000.0,14397000.0,14430000.0,14503000.0,14536000.0,14597000.0
prestamos_por_cobrar,Préstamos por cobrar,NotesReceivableNet,False,,,,,,,,,,,,1638967000.0,1556342000.0,997684000.0,933116000.0,708755000.0,521729000.0,438743000.0,323921000.0,,,,131291000.0,,,,,,,
