linea,etiqueta,tag_gaap,subtotal,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31
ingreso_rentas,Ingresos por arrendamiento,LeaseIncome,False,1426467000.0,1440817000.0,1399585000.0,1386502000.0,1338188000.0,1313057000.0,1279698000.0,1271153000.0,1284728000.0,1208169000.0,1028710000.0,1008862000.0,995289000.0,925289000.0,873346000.0,825946000.0,800800000.0,799565000.0,679000000.0,486337000.0,460256000.0,439365000.0,415306000.0,401869000.0,410201000.0,412157000.0,394217000.0,372312000.0,364252000.0,354037000.0
ingreso_renta_variable,Renta variable sobre ventas,OperatingLeaseVariableLeaseIncome,False,,,5600000.0,4000000.0,2800000.0,5800000.0,5200000.0,3100000.0,2400000.0,5300000.0,6800000.0,2200000.0,1700000.0,4100000.0,6600000.0,2300000.0,2200000.0,3700000.0,4500000.0,441000.0,596000.0,1000000.0,2800000.0,532000.0,547000.0,1200000.0,3500000.0,407000.0,495000.0,3600000.0
ingreso_otros,Otros ingresos,OtherIncome,False,703000.0,5670000.0,88357000.0,84050000.0,328000.0,77000.0,60601000.0,59762000.0,54715000.0,52316000.0,47575000.0,30242000.0,23916000.0,19110000.0,15304000.0,11323000.0,9619000.0,7778000.0,6020000.0,3554000.0,3042000.0,2889000.0,-1768000.0,2703000.0,4435000.0,2184000.0,-116000.0,1935000.0,1198000.0,328000.0
ingresos_totales,Ingresos totales,Revenues,True,1547711000.0,1548727000.0,1487942000.0,1470552000.0,1410378000.0,1380505000.0,1340299000.0,1330915000.0,1339443000.0,1260485000.0,1076285000.0,1039104000.0,1019205000.0,944399000.0,888650000.0,837269000.0,810419000.0,807343000.0,685020000.0,489891000.0,463298000.0,442254000.0,418076000.0,404572000.0,414636000.0,414341000.0,397529000.0,374247000.0,365450000.0,354365000.0
gasto_operacion_inmueble,Gastos de operación de inmuebles,DirectCostsOfLeasedAndRentedPropertyOrEquipment,False,112439000.0,116843000.0,108076000.0,106621000.0,107422000.0,106681000.0,96309000.0,92154000.0,99851000.0,89361000.0,81883000.0,70981000.0,94703000.0,69397000.0,69089000.0,52719000.0,52180000.0,52342000.0,43710000.0,29662000.0,31734000.0,28499000.0,27135000.0,25410000.0,26452000.0,25606000.0,25253000.0,20354000.0,,
depreciacion_amortizacion,Depreciación y amortización,DepreciationDepletionAndAmortization,False,644677000.0,630275000.0,635435000.0,631981000.0,647849000.0,608935000.0,606671000.0,602339000.0,605570000.0,581064000.0,475856000.0,495566000.0,472278000.0,451477000.0,438174000.0,419016000.0,409437000.0,403762000.0,333229000.0,198832000.0,187789000.0,177985000.0,175041000.0,169084000.0,168328000.0,164585000.0,156594000.0,149424000.0,150426000.0,137517000.0
gasto_administracion,Gastos generales y de administración,GeneralAndAdministrativeExpense,False,57605000.0,58885000.0,54142000.0,55039000.0,49329000.0,44044000.0,49114000.0,41869000.0,45070000.0,40842000.0,38015000.0,35525000.0,36829000.0,34167000.0,37525000.0,34096000.0,34139000.0,32699000.0,30522000.0,23813000.0,21849000.0,20796000.0,16674000.0,16514000.0,19063000.0,20964000.0,16330000.0,16460000.0,18585000.0,15108000.0
deterioro,Deterioro de activos,ImpairmentOfRealEstate,False,54185000.0,129268000.0,124411000.0,86972000.0,142255000.0,116589000.0,142966000.0,96920000.0,96458000.0,89489000.0,27281000.0,16808000.0,29815000.0,13178000.0,9481000.0,1650000.0,7691000.0,7038000.0,7990000.0,11011000.0,17246000.0,2720000.0,23790000.0,105095000.0,13869000.0,4478000.0,8950000.0,13503000.0,13061000.0,4672000.0
gastos_totales,Gastos totales,CostsAndExpenses,True,1190305000.0,1237998000.0,1220524000.0,1188438000.0,1232118000.0,1144902000.0,1154033000.0,1103153000.0,1096634000.0,1135474000.0,841280000.0,805885000.0,817823000.0,723658000.0,686462000.0,628636000.0,616297000.0,608763000.0,653522000.0,356257000.0,345590000.0,303075000.0,321404000.0,392909000.0,305553000.0,,,,,
gasto_intereses,Gasto por intereses,InterestExpense,False,,,,,,,,261261000.0,246931000.0,240614000.0,208313000.0,184121000.0,183857000.0,154132000.0,131290000.0,117409000.0,110121000.0,106403000.0,100739000.0,76156000.0,73674000.0,73075000.0,78764000.0,76806000.0,77841000.0,75925000.0,75073000.0,73410000.0,72488000.0,70020000.0
