linea,etiqueta,tag_gaap,subtotal,2026-03-31,2025-12-31,2025-03-31,2024-12-31,2024-03-31,2023-12-31,2023-03-31,2022-12-31,2022-03-31,2021-12-31,2021-03-31,2020-12-31,2020-03-31,2019-12-31,2019-03-31
flujo_operacion,Flujo de efectivo de operación,NetCashProvidedByUsedInOperatingActivities,True,874502000.0,1203434000.0,787516000.0,971963000.0,778673000.0,760658000.0,731234000.0,630490000.0,513479000.0,352123000.0,266453000.0,305738000.0,265216000.0,291231000.0,212027000.0
compensacion_en_acciones,Compensación basada en acciones,ShareBasedCompensation,False,11383000.0,9042000.0,5899000.0,9822000.0,34003000.0,6073000.0,6300000.0,4875000.0,5002000.0,29289000.0,3697000.0,3083000.0,5518000.0,3184000.0,2764000.0
adquisicion_inmuebles,Adquisición de inmuebles,PaymentsToAcquireCommercialRealEstate,False,1649093000.0,1561329000.0,1184086000.0,1650643000.0,535903000.0,1351455000.0,1675136000.0,3906277000.0,1525836000.0,2603182000.0,1026690000.0,996841000.0,473245000.0,1552915000.0,517975000.0
desarrollo_inmuebles,Desarrollo y mejoras,PaymentsForCapitalImprovements,False,26314000.0,49435000.0,22900000.0,36207000.0,9628000.0,21585000.0,13860000.0,29467000.0,13471000.0,7921000.0,1741000.0,-1628000.0,3658000.0,7702000.0,2995000.0
venta_inmuebles,Producto de venta de inmuebles,ProceedsFromSaleOfRealEstateHeldforinvestment,False,,,,,,,,,,,,,126233000.0,,22456000.0
flujo_inversion,Flujo de efectivo de inversión,NetCashProvidedByUsedInInvestingActivities,True,-2578864000.0,-2113622000.0,-1313631000.0,-1771659000.0,-388810000.0,-2716295000.0,-1677719000.0,-3857937000.0,-1418008000.0,-2834743000.0,-993726000.0,-920553000.0,-351411000.0,-1531737000.0,-498514000.0
emision_deuda,Disposición de deuda,ProceedsFromNotesPayable,False,862500000.0,800000000.0,0.0,0.0,1250000000.0,976451000.0,1090968000.0,749092000.0,676631000.0,0.0,0.0,1227722000.0,,1890000.0,
pago_deuda,Amortización de deuda,RepaymentsOfNotesPayable,False,825000000.0,549997000.0,0.0,0.0,499999000.0,0.0,0.0,0.0,0.0,750000000.0,950000000.0,0.0,250000000.0,0.0,0.0
emision_acciones,Emisión de acciones,ProceedsFromIssuanceOfCommonStock,False,-218000.0,802290000.0,624795000.0,932900000.0,543538000.0,1589499000.0,796190000.0,2151936000.0,656094000.0,1707895000.0,669590000.0,1094938000.0,728883000.0,0.0,0.0
dividendos_pagados,Dividendos pagados,PaymentsOfDividendsCommonStock,False,758032000.0,743762000.0,711824000.0,691861000.0,636499000.0,556114000.0,497245000.0,470736000.0,438280000.0,371179000.0,260697000.0,247632000.0,233824000.0,222476000.0,204546000.0
flujo_financiamiento,Flujo de efectivo de financiamiento,NetCashProvidedByUsedInFinancingActivities,True,1711580000.0,988508000.0,374558000.0,864652000.0,17027000.0,1795208000.0,949824000.0,3103914000.0,821073000.0,2245104000.0,69876000.0,723317000.0,155276000.0,1061411000.0,287750000.0
cambio_neto_efectivo,Variación neta de efectivo,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,True,3287000.0,77617000.0,-144820000.0,47629000.0,404611000.0,-138489000.0,16884000.0,-62032000.0,-89519000.0,-213729000.0,-657349000.0,111668000.0,66152000.0,-188284000.0,1263000.0
