linea,etiqueta,tag_gaap,subtotal,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31
inmuebles_bruto,"Inmuebles, costo",RealEstateInvestmentPropertyAtCost,False,95241445000.0,95129356000.0,95037476000.0,94332511000.0,92741391000.0,91246176000.0,92093573000.0,89733809000.0,89427505000.0,88666575000.0,87021585000.0,86550420000.0,82385546000.0,81623396000.0,55954870000.0,55271030000.0,53543018000.0,53005190000.0,52458694000.0,51522563000.0,50459365000.0,50384328000.0,49106359000.0,48578812000.0,48112299000.0,35224414000.0,34911650000.0,34895051000.0,34395698000.0
depreciacion_acumulada,Depreciación acumulada,RealEstateInvestmentPropertyAccumulatedDepreciation,False,15298353000.0,14729149000.0,14345033000.0,13827462000.0,13290678000.0,12758159000.0,12332799000.0,11869054000.0,11430899000.0,10931485000.0,10439374000.0,9977207000.0,9508351000.0,9036085000.0,8558576000.0,8251995000.0,7941540000.0,7668187000.0,7404304000.0,7108954000.0,6823824000.0,6539156000.0,6229744000.0,5931378000.0,5662351000.0,5437662000.0,5287640000.0,5085219000.0,4868611000.0
inmuebles_neto,"Inmuebles, neto",RealEstateInvestmentPropertyNet,True,79943092000.0,80400207000.0,80692443000.0,80505049000.0,79450713000.0,78488017000.0,79760774000.0,77864755000.0,77996606000.0,77735090000.0,76582211000.0,76573213000.0,72877195000.0,72587311000.0,47396294000.0,47019035000.0,45601478000.0,45337003000.0,45054390000.0,44413609000.0,43635541000.0,43845172000.0,42876615000.0,42647434000.0,42449948000.0,29786752000.0,29624010000.0,29809832000.0,29527087000.0
efectivo,Efectivo y equivalentes,CashAndCashEquivalentsAtCarryingValue,False,861144000.0,1145647000.0,1186022000.0,1066081000.0,671117000.0,1318591000.0,780871000.0,598347000.0,500589000.0,530000000.0,740841000.0,531110000.0,522501000.0,278000000.0,636282000.0,437515000.0,1912750000.0,556000000.0,585071000.0,601446000.0,676074000.0,598000000.0,940193000.0,549129000.0,807871000.0,1088855000.0,1024994000.0,401190000.0,251030000.0
cuentas_por_cobrar,Cuentas por cobrar,AccountsReceivableNet,False,,601344000.0,,,,407464000.0,,,,325698000.0,,,,377996000.0,,,,424240000.0,,,,189356000.0,,,,85835000.0,,,
intangibles_arrendamiento,Intangibles de arrendamiento,FiniteLivedIntangibleAssetsNet,False,,1495510000.0,,,,1562584000.0,,,,1679563000.0,,,,1733025000.0,,,,989106000.0,,,,1053041000.0,,,,671344000.0,,,
activos_otros,Otros activos,OtherAssets,False,5587693000.0,5881122000.0,5560768000.0,5274405000.0,5038705000.0,5194342000.0,4944799000.0,4793551000.0,4739221000.0,4749735000.0,4736775000.0,4739886000.0,4706985000.0,4801499000.0,3639468000.0,3460006000.0,3212968000.0,3312454000.0,3153215000.0,2922810000.0,2850603000.0,2949009000.0,2418939000.0,2377978000.0,2428955000.0,1711857000.0,1676306000.0,1678422000.0,1717255000.0
activos_totales,Activos totales,Assets,True,98133451000.0,98724256000.0,98341141000.0,97717050000.0,95993391000.0,95328909000.0,95905196000.0,93537418000.0,93310310000.0,93020840000.0,91949409000.0,92392041000.0,88520884000.0,87897448000.0,60945529000.0,59763817000.0,59779871000.0,58486220000.0,57016670000.0,56441385000.0,55732809000.0,56065005000.0,55759598000.0,55221857000.0,55007247000.0,40031850000.0,39448185000.0,38706750000.0,38392112000.0
notas_senior,Notas senior no garantizadas,SeniorNotes,False,,,,,,,,,,,,,,,,,,,,,,14300000000.0,,,,9700000000.0,9400000000.0,8400000000.0,8300000000.0
linea_de_credito,Línea de crédito revolvente,LineOfCredit,False,,,,,,,,,1031000000.0,979000000.0,213000000.0,630000000.0,213000000.0,1538000000.0,520000000.0,612000000.0,0.0,491000000.0,100000000.0,0.0,53000000.0,172000000.0,40000000.0,115000000.0,53000000.0,184000000.0,0.0,113000000.0,26000000.0
deuda_total,Deuda total,LongTermDebt,True,34669592000.0,35037073000.0,35302901000.0,34666551000.0,32262055000.0,30879263000.0,32289832000.0,29904620000.0,29557667000.0,29000501000.0,27578197000.0,28129473000.0,25153342000.0,23875961000.0,18139299000.0,18040832000.0,18368538000.0,215300000.0,17135668000.0,16985305000.0,16503458000.0,16849076000.0,16518126000.0,15666872000.0,15676592000.0,11905877000.0,11459223000.0,10968320000.0,10706139000.0
