linea,etiqueta,tag_gaap,subtotal,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31
ingreso_rentas,Ingresos por arrendamiento,OperatingLeasesIncomeStatementLeaseRevenue,False,,,,,,,,,,,,,,,,,,,1037281000.0,1014763000.0,1021656000.0,987810000.0,980148000.0,944366000.0,878807000.0,723857000.0,710465000.0,700689000.0,696807000.0
ingresos_totales,Ingresos totales,Revenues,True,2297723000.0,2252712000.0,2213881000.0,2183869000.0,2139665000.0,2200646000.0,2036389000.0,2007954000.0,1956621000.0,1889247000.0,1914664000.0,2450971000.0,1768587000.0,1751592000.0,1750892000.0,1252080000.0,1219128000.0,1277233000.0,1183049000.0,1150842000.0,1148316000.0,1111597000.0,1082773000.0,1266124000.0,978241000.0,826016000.0,942181000.0,790372000.0,772052000.0
gasto_operacion_inmueble,Gastos de operación de inmuebles,DirectCostsOfLeasedAndRentedPropertyOrEquipment,False,520283000.0,503222000.0,484635000.0,487963000.0,488317000.0,438468000.0,427425000.0,445235000.0,454257000.0,408225000.0,416076000.0,387938000.0,412554000.0,374892000.0,284707000.0,270465000.0,275674000.0,261692000.0,256607000.0,245133000.0,277884000.0,246846000.0,245490000.0,232109000.0,227618000.0,184196000.0,180864000.0,181138000.0,188068000.0
depreciacion_amortizacion,Depreciación y amortización,DepreciationAndAmortization,False,731506000.0,668750000.0,647999000.0,657221000.0,652058000.0,656444000.0,649265000.0,637305000.0,637505000.0,638346000.0,642010000.0,602168000.0,602367000.0,612367000.0,401450000.0,402313000.0,396647000.0,396825000.0,390806000.0,392736000.0,397575000.0,417066000.0,400738000.0,398195000.0,345970000.0,289240000.0,282254000.0,284376000.0,284009000.0
gasto_administracion,Gastos generales y de administración,GeneralAndAdministrativeExpense,False,126890000.0,136880000.0,110662000.0,106871000.0,114701000.0,102724000.0,98154000.0,106596000.0,111291000.0,98309000.0,96673000.0,95647000.0,99777000.0,85420000.0,87903000.0,83114000.0,74646000.0,73823000.0,66970000.0,74342000.0,78032000.0,66144000.0,74348000.0,64664000.0,69689000.0,65542000.0,65199000.0,66276000.0,69701000.0
gasto_otros,Otros gastos de operación,OtherCostAndExpenseOperating,False,10123000.0,15950000.0,8724000.0,11706000.0,9649000.0,7673000.0,15683000.0,11444000.0,12244000.0,21668000.0,12342000.0,12160000.0,7184000.0,12122000.0,7004000.0,11621000.0,9589000.0,7384000.0,4413000.0,7194000.0,3444000.0,4437000.0,3020000.0,7979000.0,14574000.0,3506000.0,2294000.0,3515000.0,3834000.0
gastos_totales,Gastos totales,OperatingExpenses,True,612295000.0,-3966641000.0,562629000.0,564586000.0,558743000.0,-3681262000.0,504450000.0,527215000.0,545312000.0,,,,,,,,,,,,,,,,,,,,
utilidad_operativa,Utilidad de operación,OperatingIncomeLoss,True,1211055000.0,1626478000.0,940261000.0,912712000.0,878413000.0,1421256000.0,1250971000.0,1023338000.0,720355000.0,834851000.0,882108000.0,1411790000.0,579043000.0,813449000.0,914970000.0,533317000.0,1205802000.0,1208273000.0,765660000.0,700866000.0,532197000.0,482380000.0,556520000.0,611987000.0,468057000.0,559640000.0,471480000.0,442056000.0,376590000.0
gasto_intereses,Gasto por intereses,InterestExpense,False,,,,,,,,208267000.0,193320000.0,174450000.0,181053000.0,149818000.0,136011000.0,120796000.0,63884000.0,60293000.0,64064000.0,62897000.0,63638000.0,68412000.0,71281000.0,76856000.0,80711000.0,81298000.0,75642000.0,60080000.0,60244000.0,59122000.0,60507000.0
ganancia_venta_inmuebles,Ganancia por venta de inmuebles,GainLossOnDispositionOfAssets1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,123314000.0,224195000.0,188208000.0
