linea,etiqueta,tag_gaap,subtotal,2026-03-31,2025-12-31,2025-03-31,2024-12-31,2024-03-31,2023-12-31,2023-03-31,2022-12-31,2022-03-31,2021-12-31,2021-03-31,2020-12-31,2020-03-31,2019-12-31,2019-03-31
flujo_operacion,Flujo de efectivo de operación,NetCashProvidedByUsedInOperatingActivities,True,1288136000.0,1158236000.0,1160753000.0,1335451000.0,1055460000.0,1074422000.0,1114297000.0,1277617000.0,841527000.0,716066000.0,816694000.0,603670000.0,679093000.0,616374000.0,494914000.0
compensacion_en_acciones,Compensación basada en acciones,ShareBasedCompensation,False,60632000.0,43812000.0,53161000.0,67445000.0,67237000.0,57626000.0,62906000.0,35334000.0,41429000.0,28612000.0,34575000.0,23471000.0,31808000.0,25090000.0,31758000.0
adquisicion_inmuebles,Adquisición de inmuebles,PaymentsToAcquireRealEstate,False,223053000.0,554110000.0,779664000.0,507297000.0,126177000.0,546794000.0,51866000.0,259754000.0,451343000.0,1123454000.0,226450000.0,538241000.0,439059000.0,345207000.0,274528000.0
desarrollo_inmuebles,Desarrollo y mejoras,PaymentsToDevelopRealEstateAssets,False,764465000.0,822546000.0,776184000.0,829341000.0,719795000.0,891450000.0,936921000.0,886558000.0,639636000.0,869519000.0,422399000.0,419129000.0,443044000.0,523481000.0,368596000.0
flujo_inversion,Flujo de efectivo de inversión,NetCashProvidedByUsedInInvestingActivities,True,-400615000.0,25125000.0,-1550511000.0,319956000.0,-1084065000.0,-1207263000.0,-1049154000.0,-1287590000.0,283429000.0,-1093489000.0,-107094000.0,-494508000.0,-2009173000.0,-403104000.0,159639000.0
emision_deuda,Disposición de deuda,ProceedsFromIssuanceOfLongTermDebt,False,,,,,,,,,,,,,,,1145095000.0
emision_acciones,Emisión de acciones,ProceedsFromIssuanceOrSaleOfEquity,False,,,,,,,,0.0,0.0,0.0,709000.0,348000.0,850000.0,183000.0,2482000.0
dividendos_pagados,Dividendos pagados,PaymentsOfDividends,False,1000577000.0,941973000.0,939920000.0,893003000.0,891806000.0,808567000.0,806505000.0,731964000.0,587382000.0,468501000.0,468000000.0,430663000.0,430766000.0,336698000.0,336094000.0
flujo_financiamiento,Flujo de efectivo de financiamiento,NetCashProvidedByUsedInFinancingActivities,True,-1158280000.0,-1218282000.0,-275560000.0,-1091609000.0,2388000.0,-84005000.0,172407000.0,-371523000.0,242484000.0,350468000.0,-592313000.0,-466200000.0,1050411000.0,-156222000.0,-748634000.0
cambio_neto_efectivo,Variación neta de efectivo,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,True,-284503000.0,-40375000.0,-647474000.0,537720000.0,-29799000.0,-210453000.0,244018000.0,-357799000.0,1356633000.0,-28954000.0,77988000.0,-342107000.0,-280984000.0,63861000.0,-92826000.0
