linea,etiqueta,tag_gaap,subtotal,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31
inmuebles_bruto,"Inmuebles, costo",RealEstateInvestmentPropertyAtCost,False,30502785000.0,30213531000.0,30078257000.0,29711069000.0,29111692000.0,28841032000.0,28478738000.0,28094060000.0,27814836000.0,27598160000.0,27465238000.0,26996674000.0,24680514000.0,24423109000.0,24219126000.0,23775894000.0,23315548000.0,23043707000.0,22807833000.0,20456523000.0,19977932000.0,17644680000.0,17372627000.0,16784026000.0,16697846000.0,16548981000.0,16289146000.0,16031472000.0,15781745000.0,15537360000.0
depreciacion_acumulada,Depreciación acumulada,RealEstateInvestmentPropertyAccumulatedDepreciation,False,12008797000.0,11737258000.0,11468054000.0,11199115000.0,10938166000.0,10682425000.0,10426186000.0,10172372000.0,9921201000.0,9671521000.0,9423974000.0,9188151000.0,8966878000.0,8759281000.0,8554155000.0,8346598000.0,8150113000.0,7958536000.0,7773308000.0,7598496000.0,7435657000.0,7286332000.0,7152135000.0,7013362000.0,6881358000.0,6751150000.0,6623475000.0,6496989000.0,6375132000.0,6255475000.0
inmuebles_neto,"Inmuebles, neto",RealEstateInvestmentPropertyNet,True,18754076000.0,18679015000.0,18804558000.0,18779770000.0,18430821000.0,18399276000.0,18360653000.0,18232202000.0,18274381000.0,18315917000.0,18386717000.0,18265587000.0,16163567000.0,16041176000.0,16037963000.0,15835650000.0,15545495000.0,15422723000.0,15306996000.0,13086406000.0,12791988000.0,10559664000.0,10408571000.0,9947322000.0,9969870000.0,9959530000.0,9807605000.0,9718516000.0,9598487000.0,9495670000.0
efectivo,Efectivo y equivalentes,CashAndCashEquivalentsAtCarryingValue,False,259936000.0,134609000.0,318095000.0,296460000.0,1104603000.0,287177000.0,447416000.0,599004000.0,542263000.0,271645000.0,370002000.0,629773000.0,651665000.0,695424000.0,775253000.0,883787000.0,1013886000.0,940524000.0,734599000.0,958247000.0,480810000.0,159622000.0,257560000.0,293955000.0,1268475000.0,718427000.0,409743000.0,541357000.0,360331000.0,217973000.0
intangibles_arrendamiento,Intangibles de arrendamiento,FiniteLivedIntangibleAssetsNet,False,43338000.0,48540000.0,66946000.0,84901000.0,68800000.0,78536000.0,97520000.0,109879000.0,136127000.0,166798000.0,202600000.0,229624000.0,27355000.0,35063000.0,47850000.0,55144000.0,65077000.0,86460000.0,118227000.0,74400000.0,80900000.0,20500000.0,19987000.0,11300000.0,13500000.0,16000000.0,12500000.0,18100000.0,16800000.0,17100000.0
goodwill,Crédito mercantil,Goodwill,False,165843000.0,165843000.0,165843000.0,165843000.0,165843000.0,165843000.0,165843000.0,165843000.0,165843000.0,165843000.0,165843000.0,165843000.0,165843000.0,165843000.0,165843000.0,165843000.0,165843000.0,165843000.0,165843000.0,165800000.0,165800000.0,165800000.0,165843000.0,174600000.0,174600000.0,174600000.0,174600000.0,174600000.0,174600000.0,174600000.0
prestamos_por_cobrar,Préstamos por cobrar,NotesReceivableNet,False,173300000.0,142501000.0,142108000.0,,,,9976000.0,,,,,,,,,,,,,,,,,,,,,,,
activos_otros,Otros activos,OtherAssets,False,337621000.0,277160000.0,303644000.0,384963000.0,364616000.0,291675000.0,272212000.0,279985000.0,277163000.0,289310000.0,275050000.0,287967000.0,256294000.0,265756000.0,230822000.0,239024000.0,207832000.0,213758000.0,207656000.0,201812000.0,184167000.0,286313000.0,172715000.0,169248000.0,159430000.0,175298000.0,174344000.0,171345000.0,165772000.0,166600000.0
activos_totales,Activos totales,Assets,True,20117732000.0,19850409000.0,20208604000.0,20114318000.0,20541453000.0,19615446000.0,19754934000.0,19803219000.0,19788762000.0,19617385000.0,19809216000.0,19875749000.0,17560326000.0,17507778000.0,17552307000.0,17450920000.0,17862851000.0,17698781000.0,17380908000.0,15284686000.0,14490365000.0,11981735000.0,11816546000.0,11385148000.0,12358055000.0,11825921000.0,11365444000.0,11413861000.0,11113291000.0,10875016000.0
deuda_total,Deuda total,LongTermDebt,True,10180215000.0,9707266000.0,10253881000.0,10042822000.0,10440279000.0,9424558000.0,9353034000.0,9473778000.0,9400520000.0,9067890000.0,9103277000.0,9029622000.0,6894167000.0,6899335000.0,6870826000.0,6740451000.0,7340904000.0,7441723000.0,7475279000.0,5773190000.0,4995620000.0,2996111000.0,2544992000.0,2499570000.0,2457871000.0,2438668000.0,1902493000.0,1892435000.0,1908110000.0,1406150000.0
