linea,etiqueta,tag_gaap,subtotal,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
ingresos_totales,Ingresos totales,Revenues,True,4824113000.0,4695616000.0,4517690000.0,4182163000.0,3415824000.0,2915068000.0,2855108000.0
gasto_operacion_inmueble,Gastos de operación de inmuebles,DirectCostsOfLeasedAndRentedPropertyOrEquipment,False,,,,,852030000.0,807543000.0,762416000.0
depreciacion_amortizacion,Depreciación y amortización,DepreciationDepletionAndAmortization,False,1151840000.0,1129766000.0,970056000.0,888146000.0,713428000.0,553257000.0,512918000.0
gasto_administracion,Gastos generales y de administración,GeneralAndAdministrativeExpense,False,106682000.0,106677000.0,80632000.0,71672000.0,75966000.0,83199000.0,62146000.0
deterioro,Deterioro de activos,ImpairmentOfRealEstate,False,4348000.0,0.0,0.0,,,,
gastos_totales,Gastos totales,CostsAndExpenses,True,2892542000.0,2797351000.0,2426217000.0,2177788000.0,1813689000.0,1560201000.0,1433857000.0
gasto_intereses,Gasto por intereses,InterestExpense,False,304495000.0,287401000.0,201132000.0,136319000.0,90774000.0,56283000.0,45641000.0
ganancia_venta_inmuebles,Ganancia por venta de inmuebles,GainsLossesOnSalesOfInvestmentRealEstate,False,1113000.0,1537000.0,17178000.0,1503000.0,13683000.0,1493000.0,341000.0
resultado_no_consolidadas,Participación en no consolidadas,IncomeLossFromEquityMethodInvestments,False,9604000.0,19821000.0,27897000.0,106981000.0,232093000.0,80497000.0,69547000.0
utilidad_antes_impuestos,Utilidad antes de impuestos,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,True,1789804000.0,2089079000.0,2170941000.0,4380600000.0,1972004000.0,,
impuestos,Impuesto a la utilidad,IncomeTaxExpenseBenefit,False,-7228000.0,4669000.0,10821000.0,14326000.0,12365000.0,,
utilidad_neta,Utilidad neta,ProfitLoss,True,1797032000.0,2084410000.0,2160120000.0,4366274000.0,1959639000.0,1361227000.0,1525651000.0
utilidad_minoritarios,Participación no controladora,NetIncomeLossAttributableToNoncontrollingInterest,False,12684000.0,12399000.0,11793000.0,17127000.0,6376000.0,4014000.0,
dividendos_preferentes,Dividendos preferentes,DividendsPreferredStock,False,194703000.0,194703000.0,194703000.0,194390000.0,186579000.0,207068000.0,210179000.0
utilidad_neta_comun,Utilidad neta atribuible a comunes,NetIncomeLossAvailableToCommonStockholdersBasic,True,1585585000.0,1872685000.0,1948741000.0,4142288000.0,1732444000.0,1098335000.0,1272767000.0
utilidad_por_accion_basica,"Utilidad por acción, básica",EarningsPerShareBasic,False,9.04,10.68,11.11,23.64,9.91,6.29,7.3
utilidad_por_accion_diluida,"Utilidad por acción, diluida",EarningsPerShareDiluted,False,9.01,10.64,11.06,23.5,9.87,6.29,7.29
acciones_basicas,"Acciones promedio, básicas",WeightedAverageNumberOfSharesOutstandingBasic,False,175447000.0,175351000.0,175472000.0,175257000.0,174858000.0,174494000.0,174287000.0
acciones_diluidas,"Acciones promedio, diluidas",WeightedAverageNumberOfDilutedSharesOutstanding,False,175902000.0,176038000.0,176143000.0,176280000.0,175568000.0,174642000.0,174530000.0
dividendo_declarado_por_accion,Dividendo declarado por acción,CommonStockDividendsPerShareDeclared,False,12.0,12.0,12.0,21.15,8.0,8.0,8.0
