linea,etiqueta,tag_gaap,subtotal,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31
ingresos_totales,Ingresos totales,Revenues,True,1232881000.0,1217741000.0,1215792000.0,1224043000.0,1201094000.0,1183184000.0,1177427000.0,1187758000.0,1173211000.0,1157220000.0,1159868000.0,1143820000.0,1119770000.0,1094232000.0,1088542000.0,1088131000.0,1032045000.0,973445000.0,924316000.0,894931000.0,829315000.0,767262000.0,748536000.0,734545000.0,712943000.0,719044000.0,717499000.0,729336000.0,710950000.0,689038000.0
gasto_operacion_inmueble,Gastos de operación de inmuebles,DirectCostsOfLeasedAndRentedPropertyOrEquipment,False,,,,,,,,,,,,,,,,,,,220331000.0,216999000.0,202595000.0,212105000.0,170314000.0,209179000.0,216954000.0,211096000.0,172308000.0,200369000.0,196083000.0,193656000.0
depreciacion_amortizacion,Depreciación y amortización,DepreciationDepletionAndAmortization,False,287757000.0,290723000.0,295545000.0,290364000.0,283216000.0,282715000.0,280891000.0,280330000.0,283342000.0,285203000.0,287525000.0,238748000.0,222133000.0,221650000.0,226538000.0,220772000.0,218708000.0,222128000.0,205289000.0,188552000.0,172728000.0,146859000.0,141406000.0,,,135900000.0,134885000.0,,,121941000.0
gasto_administracion,Gastos generales y de administración,GeneralAndAdministrativeExpense,False,44369000.0,30351000.0,26988000.0,28783000.0,25727000.0,25184000.0,32547000.0,26214000.0,26580000.0,21336000.0,23173000.0,20732000.0,19769000.0,16958000.0,-9729000.0,29501000.0,28831000.0,23069000.0,-3030000.0,31682000.0,27740000.0,19574000.0,29965000.0,18262000.0,17104000.0,17868000.0,10471000.0,16908000.0,15264000.0,19503000.0
deterioro,Deterioro de activos,ImpairmentOfRealEstate,False,,0.0,402000.0,,,3827000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
gastos_totales,Gastos totales,CostsAndExpenses,True,766200000.0,743463000.0,739743000.0,732526000.0,701095000.0,719178000.0,702699000.0,705026000.0,687109000.0,702517000.0,682895000.0,611833000.0,563008000.0,568481000.0,541351000.0,561428000.0,535679000.0,539330000.0,481831000.0,480704000.0,441048000.0,410106000.0,371758000.0,395230000.0,401156000.0,392057000.0,346956000.0,371000000.0,362113000.0,353788000.0
utilidad_operativa,Utilidad de operación,OperatingIncomeLoss,True,466681000.0,474278000.0,,,499999000.0,464006000.0,,,,,,,,,,,,,,,,,,,,,,,,
gasto_intereses,Gasto por intereses,InterestExpense,False,84781000.0,80018000.0,81185000.0,79692000.0,71609000.0,72009000.0,72135000.0,74252000.0,73236000.0,67778000.0,68602000.0,58350000.0,38079000.0,36101000.0,36141000.0,34113000.0,32941000.0,33124000.0,29794000.0,23736000.0,21994000.0,15250000.0,14235000.0,14282000.0,14145000.0,13621000.0,12647000.0,12597000.0,12254000.0,8143000.0
ganancia_venta_inmuebles,Ganancia por venta de inmuebles,GainsLossesOnSalesOfInvestmentRealEstate,False,-35000.0,379000.0,403000.0,502000.0,163000.0,45000.0,109000.0,554000.0,0.0,874000.0,17090000.0,88000.0,0.0,0.0,0.0,1503000.0,0.0,0.0,0.0,279000.0,3991000.0,9413000.0,376000.0,0.0,,1117000.0,0.0,,341000.0,
resultado_no_consolidadas,Participación en no consolidadas,IncomeLossFromEquityMethodInvestments,False,4944000.0,6836000.0,4533000.0,3674000.0,-2230000.0,3627000.0,4363000.0,2888000.0,6480000.0,6090000.0,5110000.0,7227000.0,9565000.0,5995000.0,6852000.0,8180000.0,48525000.0,43424000.0,150711000.0,32860000.0,29066000.0,19456000.0,17634000.0,21240000.0,17655000.0,23968000.0,13916000.0,19045000.0,18914000.0,17672000.0
