linea,etiqueta,tag_gaap,subtotal,2026-03-31,2025-12-31,2025-03-31,2024-12-31,2024-03-31,2023-12-31,2023-03-31,2022-12-31,2022-03-31,2021-12-31,2021-03-31,2020-12-31,2020-03-31,2019-12-31,2019-03-31
flujo_operacion,Flujo de efectivo de operación,NetCashProvidedByUsedInOperatingActivities,True,694801000.0,733587000.0,705063000.0,768620000.0,665586000.0,791684000.0,696893000.0,736351000.0,656241000.0,728835000.0,509162000.0,512562000.0,462950000.0,499989000.0,469832000.0
compensacion_en_acciones,Compensación basada en acciones,ShareBasedCompensation,False,11888000.0,9541000.0,10283000.0,12646000.0,10347000.0,10257000.0,9845000.0,12106000.0,13928000.0,12168000.0,14407000.0,11828000.0,5677000.0,6345000.0,6664000.0
adquisicion_inmuebles,Adquisición de inmuebles,PaymentsToAcquireRealEstate,False,20778000.0,131030000.0,140990000.0,221193000.0,0.0,171852000.0,46795000.0,228587000.0,112277000.0,2201822000.0,203108000.0,509849000.0,186183000.0,121115000.0,79499000.0
desarrollo_inmuebles,Desarrollo y mejoras,PaymentsToDevelopRealEstateAssets,False,57713000.0,72739000.0,66481000.0,79693000.0,84527000.0,115468000.0,68874000.0,82028000.0,,,,,,,
flujo_inversion,Flujo de efectivo de inversión,NetCashProvidedByUsedInInvestingActivities,True,-147325000.0,-364309000.0,-286517000.0,-411644000.0,-186584000.0,-490217000.0,-212311000.0,-432492000.0,-288531000.0,-2372432000.0,-403725000.0,-589563000.0,-289904000.0,-226673000.0,-189493000.0
pago_deuda,Amortización de deuda,RepaymentsOfNotesPayable,False,500034000.0,251418000.0,33000.0,32000.0,36000.0,30000.0,129000.0,11225000.0,236000.0,633000.0,527000.0,515000.0,497000.0,488000.0,467000.0
emision_acciones,Emisión de acciones,ProceedsFromIssuanceOfCommonStock,False,,,,29404000.0,7800000.0,-31099000.0,25116000.0,-27913000.0,8073000.0,14448000.0,4703000.0,7159000.0,1763000.0,555000.0,1593000.0
dividendos_pagados,Dividendos pagados,PaymentsOfDividendsMinorityInterest,False,4375000.0,5100000.0,4474000.0,3701000.0,4166000.0,3631000.0,3773000.0,2770000.0,2555000.0,2149000.0,1269000.0,1398000.0,1172000.0,1252000.0,1803000.0
flujo_financiamiento,Flujo de efectivo de financiamiento,NetCashProvidedByUsedInFinancingActivities,True,-730962000.0,-347643000.0,-578785000.0,-508564000.0,-577195000.0,-561447000.0,-563965000.0,-410381000.0,-161253000.0,1420344000.0,-202971000.0,41127000.0,135497000.0,-404350000.0,-423005000.0
cambio_neto_efectivo,Variación neta de efectivo,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,True,-183486000.0,21635000.0,-160239000.0,-151588000.0,-98193000.0,-259980000.0,-79383000.0,-106522000.0,206630000.0,-223061000.0,-97356000.0,-36108000.0,308574000.0,-131138000.0,-142616000.0
