linea,etiqueta,tag_gaap,subtotal,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31
inmuebles_bruto,"Inmuebles, costo",RealEstateGrossAtCarryingValue,False,,63773912000.0,,,,51299505000.0,,,,46338171000.0,,,,41000766000.0,,,,37605747000.0,,,,33670006000.0,,,,36027915000.0,,,
depreciacion_acumulada,Depreciación acumulada,RealEstateInvestmentPropertyAccumulatedDepreciation,False,10822151000.0,10350621000.0,10107309000.0,11673306000.0,11092885000.0,10626263000.0,10276509000.0,9908007000.0,9537562000.0,9274814000.0,8868627000.0,8599622000.0,8417151000.0,8075733000.0,7687077000.0,7437779000.0,7215622000.0,6910114000.0,6634061000.0,6415676000.0,6212432000.0,6104297000.0,6002775000.0,6001177000.0,5910979000.0,5715459000.0,5769843000.0,5539435000.0,5670111000.0
inmuebles_neto,"Inmuebles, neto",RealEstateInvestmentPropertyNet,True,53154631000.0,53423291000.0,45328371000.0,44300595000.0,43082677000.0,40673242000.0,39200223000.0,37219095000.0,36982462000.0,37063357000.0,34170541000.0,33253328000.0,33396715000.0,32925033000.0,32596821000.0,32133108000.0,31300783000.0,30695633000.0,29307802000.0,27725616000.0,27464998000.0,27565709000.0,27452540000.0,28427719000.0,29630673000.0,30312456000.0,28807156000.0,30145577000.0,27739394000.0
efectivo,Efectivo y equivalentes,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,False,4819293000.0,5209539000.0,6940573000.0,4523511000.0,3610285000.0,3711457000.0,3784408000.0,2863598000.0,2478335000.0,2076083000.0,2686711000.0,2299069000.0,638796000.0,722292000.0,425184000.0,442251000.0,367043000.0,346755000.0,362645000.0,808704000.0,2558822000.0,2021043000.0,2155333000.0,1826243000.0,393066000.0,385766000.0,330735000.0,359718000.0,407439000.0
cuentas_por_cobrar,Cuentas por cobrar,AccountsReceivableNet,False,284206000.0,251055000.0,608683000.0,230277000.0,221738000.0,222542000.0,247418000.0,347625000.0,338462000.0,330119000.0,311001000.0,297353000.0,297513000.0,289168000.0,257996000.0,257697000.0,239023000.0,223627000.0,210822000.0,198364000.0,242928000.0,240269000.0,382149000.0,373835000.0,373179000.0,336854000.0,,,
renta_linea_recta_por_cobrar,Rentas por cobrar en línea recta,DeferredRentReceivablesNet,False,,,,,,,518387000.0,420666000.0,469976000.0,443800000.0,405154000.0,389381000.0,357359000.0,322173000.0,430173000.0,408575000.0,385639000.0,365643000.0,346159000.0,331381000.0,312721000.0,344066000.0,334203000.0,464716000.0,449075000.0,466222000.0,432616000.0,419501000.0,395621000.0
intangibles_arrendamiento,Intangibles de arrendamiento,IntangibleAssetsNetExcludingGoodwill,False,784150000.0,908747000.0,383871000.0,655236000.0,693305000.0,665944000.0,483989000.0,449381000.0,476587000.0,514814000.0,385837000.0,397396000.0,447373000.0,461410000.0,503954000.0,526553000.0,506734000.0,503369000.0,404383000.0,293421000.0,302294000.0,322517000.0,337332000.0,387463000.0,434332000.0,435893000.0,398755000.0,425202000.0,324628000.0
goodwill,Crédito mercantil,Goodwill,False,342907000.0,346316000.0,205599000.0,208483000.0,200201000.0,149225000.0,68321000.0,68321000.0,68321000.0,68321000.0,68321000.0,68321000.0,68321000.0,68321000.0,68321000.0,68321000.0,68321000.0,68321000.0,68321000.0,68321000.0,68321000.0,68321000.0,68321000.0,68321000.0,68321000.0,68321000.0,68321000.0,68321000.0,68321000.0
prestamos_por_cobrar,Préstamos por cobrar,NotesReceivableNet,False,2567564000.0,1831210000.0,1773788000.0,1801860000.0,1772708000.0,1805044000.0,1840453000.0,1791202000.0,1426094000.0,1361587000.0,1181265000.0,965509000.0,954156000.0,890844000.0,916639000.0,,1242159000.0,1068681000.0,1326467000.0,1295663000.0,730602000.0,443372000.0,796855000.0,598706000.0,594407000.0,270382000.0,,,
activos_otros,Otros activos,OtherAssets,False,9417395000.0,9392538000.0,11152196000.0,8451868000.0,7207886000.0,7192631000.0,7085602000.0,6163358000.0,5796137000.0,5236253000.0,5964203000.0,5522982000.0,3820122000.0,3753414000.0,3577798000.0,3159558000.0,2763845000.0,2623215000.0,2529964000.0,2899580000.0,4584792000.0,629031000.0,4193490000.0,4007458000.0,2547910000.0,757748000.0,2158580000.0,2083784000.0,2044428000.0
