estado,linea,etiqueta,subtotal,tag_gaap,encontrada,propia_de_la_emisora
estado_resultados,ingreso_rentas,Ingresos por arrendamiento,False,OperatingLeaseLeaseIncome,True,True
estado_resultados,ingreso_renta_variable,Renta variable sobre ventas,False,OperatingLeaseVariableLeaseIncome,True,False
estado_resultados,ingreso_reembolsos,Reembolsos de inquilinos,False,,False,False
estado_resultados,ingreso_gestion,Comisiones por administración,False,,False,False
estado_resultados,ingreso_otros,Otros ingresos,False,OtherIncome,True,False
estado_resultados,ingresos_totales,Ingresos totales,True,Revenues,True,True
estado_resultados,gasto_operacion_inmueble,Gastos de operación de inmuebles,False,OperatingCostsAndExpenses,True,False
estado_resultados,gasto_predial_seguro,Predial y seguros,False,RealEstateTaxExpense,True,False
estado_resultados,depreciacion_amortizacion,Depreciación y amortización,False,DepreciationDepletionAndAmortization,True,False
estado_resultados,gasto_administracion,Gastos generales y de administración,False,SellingGeneralAndAdministrativeExpense,True,False
estado_resultados,deterioro,Deterioro de activos,False,AssetImpairmentCharges,True,False
estado_resultados,gasto_otros,Otros gastos de operación,False,,False,False
estado_resultados,gastos_totales,Gastos totales,True,CostsAndExpenses,True,False
estado_resultados,utilidad_operativa,Utilidad de operación,True,,False,False
estado_resultados,gasto_intereses,Gasto por intereses,False,InterestExpenseDebt,True,False
estado_resultados,ingreso_intereses,Ingreso por intereses,False,,False,False
estado_resultados,ganancia_venta_inmuebles,Ganancia por venta de inmuebles,False,GainLossOnSaleOfProperties,True,False
estado_resultados,resultado_no_consolidadas,Participación en no consolidadas,False,IncomeLossFromEquityMethodInvestments,True,False
estado_resultados,otros_no_operativos,Otros resultados no operativos,False,OtherNonoperatingIncomeExpense,True,False
estado_resultados,utilidad_antes_impuestos,Utilidad antes de impuestos,True,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,True,False
estado_resultados,impuestos,Impuesto a la utilidad,False,IncomeTaxExpenseBenefit,True,False
estado_resultados,utilidad_neta,Utilidad neta,True,ProfitLoss,True,False
estado_resultados,utilidad_minoritarios,Participación no controladora,False,NetIncomeLossAttributableToNoncontrollingInterest,True,False
estado_resultados,dividendos_preferentes,Dividendos preferentes,False,DividendsPreferredStock,True,False
estado_resultados,utilidad_neta_comun,Utilidad neta atribuible a comunes,True,NetIncomeLossAvailableToCommonStockholdersBasic,True,False
estado_resultados,utilidad_por_accion_basica,"Utilidad por acción, básica",False,EarningsPerShareBasic,True,False
estado_resultados,utilidad_por_accion_diluida,"Utilidad por acción, diluida",False,EarningsPerShareDiluted,True,False
estado_resultados,acciones_basicas,"Acciones promedio, básicas",False,WeightedAverageNumberOfSharesOutstandingBasic,True,False
