linea,etiqueta,tag_gaap,subtotal,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
ingreso_rentas,Ingresos por arrendamiento,OperatingLeaseLeaseIncome,False,1967935000.0,1570278000.0,1556073000.0,1451786000.0,1374695000.0,1443360000.0,1588400000.0
ingreso_renta_variable,Renta variable sobre ventas,OperatingLeaseVariableLeaseIncome,False,205278000.0,218413000.0,211977000.0,193548000.0,180858000.0,203348000.0,200564000.0
ingreso_otros,Otros ingresos,OtherIncome,False,170898000.0,137500000.0,159764000.0,84547000.0,32634000.0,,
ingresos_totales,Ingresos totales,Revenues,True,10838034000.0,7991118000.0,6637995000.0,5860615000.0,4742115000.0,4605967000.0,5121306000.0
gasto_operacion_inmueble,Gastos de operación de inmuebles,OperatingCostsAndExpenses,False,,,,,,78792000.0,
gasto_predial_seguro,Predial y seguros,RealEstateTaxExpense,False,344843000.0,310572000.0,276972000.0,253918000.0,,,
depreciacion_amortizacion,Depreciación y amortización,DepreciationAndAmortization,False,2084868000.0,1632093000.0,1401101000.0,1310368000.0,1037566000.0,1038437000.0,1027073000.0
gasto_administracion,Gastos generales y de administración,SellingGeneralAndAdministrativeExpense,False,1748435000.0,235491000.0,179091000.0,150390000.0,126727000.0,128394000.0,126549000.0
deterioro,Deterioro de activos,AssetImpairmentCharges,False,121283000.0,92793000.0,36097000.0,17502000.0,51107000.0,135608000.0,28133000.0
gastos_totales,Gastos totales,CostsAndExpenses,True,11318059000.0,7466676000.0,6287948000.0,5687553000.0,4571365000.0,4637519000.0,4578414000.0
gasto_intereses,Gasto por intereses,InterestExpenseDebt,False,,,607846000.0,529519000.0,489853000.0,514388000.0,555559000.0
ganancia_venta_inmuebles,Ganancia por venta de inmuebles,GainsLossesOnSalesOfInvestmentRealEstate,False,,,67898000.0,16043000.0,235375000.0,1088455000.0,748041000.0
resultado_no_consolidadas,Participación en no consolidadas,IncomeLossFromEquityMethodInvestments,False,-14297000.0,-496000.0,-53442000.0,-21290000.0,-22933000.0,-8083000.0,42434000.0
otros_no_operativos,Otros resultados no operativos,OtherNonoperatingIncomeExpense,False,,,-108341000.0,-101670000.0,-41739000.0,-70335000.0,-52612000.0
utilidad_antes_impuestos,Utilidad antes de impuestos,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,True,,524442000.0,350047000.0,173062000.0,170750000.0,-31552000.0,542892000.0
impuestos,Impuesto a la utilidad,IncomeTaxExpenseBenefit,False,-7116000.0,2700000.0,6364000.0,7247000.0,8713000.0,9968000.0,2957000.0
utilidad_neta,Utilidad neta,ProfitLoss,True,961837000.0,972857000.0,358139000.0,160568000.0,374479000.0,1038852000.0,1330410000.0
utilidad_minoritarios,Participación no controladora,NetIncomeLossAttributableToNoncontrollingInterest,False,24992000.0,21177000.0,18045000.0,19354000.0,38341000.0,60008000.0,97978000.0
dividendos_preferentes,Dividendos preferentes,DividendsPreferredStock,False,,,,,,0.0,0.0
utilidad_neta_comun,Utilidad neta atribuible a comunes,NetIncomeLossAvailableToCommonStockholdersBasic,True,936845000.0,951680000.0,340094000.0,141214000.0,336138000.0,978844000.0,1232432000.0
utilidad_por_accion_basica,"Utilidad por acción, básica",EarningsPerShareBasic,False,1.41,1.58,0.66,0.31,0.79,2.36,3.07
utilidad_por_accion_diluida,"Utilidad por acción, diluida",EarningsPerShareDiluted,False,1.39,1.57,0.66,0.3,0.78,2.33,3.05
acciones_basicas,"Acciones promedio, básicas",WeightedAverageNumberOfSharesOutstandingBasic,False,665639000.0,602975000.0,515629000.0,462185000.0,424976000.0,415451000.0,401845000.0
acciones_diluidas,"Acciones promedio, diluidas",WeightedAverageNumberOfDilutedSharesOutstanding,False,679521000.0,608750000.0,518701000.0,465158000.0,426841000.0,417387000.0,403808000.0
dividendo_declarado_por_accion,Dividendo declarado por acción,CommonStockDividendsPerShareCashPaid,False,2.82,2.56,2.44,2.44,2.44,2.7,3.48
