linea,etiqueta,tag_gaap,subtotal,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31
ingreso_rentas,Ingresos por arrendamiento,OperatingLeaseLeaseIncome,False,453842000.0,523853000.0,499475000.0,483040000.0,461567000.0,386329000.0,430486000.0,335811000.0,417652000.0,404068000.0,384507000.0,383439000.0,384059000.0,372002000.0,361983000.0,361411000.0,356390000.0,359145000.0,357984000.0,354723000.0,302843000.0,382049000.0,275046000.0,396305000.0,389960000.0,409583000.0,412147000.0,385586000.0,381084000.0
ingreso_renta_variable,Renta variable sobre ventas,OperatingLeaseVariableLeaseIncome,False,19568000.0,37413000.0,,,57560000.0,52550000.0,,,56228000.0,47997000.0,,,53794000.0,48007000.0,,,48074000.0,46226000.0,,,46026000.0,50131000.0,,,55754000.0,52749000.0,,,47350000.0
ingreso_otros,Otros ingresos,OtherIncome,False,46224000.0,46664000.0,57631000.0,32103000.0,34500000.0,31595000.0,44607000.0,32147000.0,29151000.0,31826000.0,35478000.0,83880000.0,8580000.0,,,,,,,,,,,,,,,,
ingresos_totales,Ingresos totales,Revenues,True,3351926000.0,3181011000.0,2685692000.0,2548244000.0,2423087000.0,2250830000.0,2055663000.0,1824884000.0,1859741000.0,1749775000.0,1662013000.0,1665478000.0,1560729000.0,1518531000.0,1473844000.0,1472536000.0,1395704000.0,1309264000.0,1239797000.0,1140992000.0,1052062000.0,1122016000.0,1036874000.0,1188475000.0,1258602000.0,1262822000.0,1266133000.0,1320106000.0,1272245000.0
gasto_operacion_inmueble,Gastos de operación de inmuebles,OperatingCostsAndExpenses,False,,,,,,,,,,,,,,,,,,,,,21204000.0,10164000.0,18192000.0,,7294000.0,,,,
gasto_predial_seguro,Predial y seguros,RealEstateTaxExpense,False,83731000.0,81261000.0,88847000.0,88591000.0,86144000.0,76014000.0,78735000.0,78353000.0,77470000.0,,,,,,,,,,,,,,,,,,,,
depreciacion_amortizacion,Depreciación y amortización,DepreciationAndAmortization,False,622752000.0,594151000.0,509812000.0,495036000.0,485869000.0,480406000.0,403779000.0,382045000.0,365863000.0,380730000.0,339314000.0,341945000.0,339112000.0,342286000.0,353699000.0,310295000.0,304088000.0,284501000.0,267754000.0,240885000.0,244426000.0,242733000.0,255532000.0,265371000.0,274801000.0,262644000.0,272445000.0,248052000.0,243932000.0
gasto_administracion,Gastos generales y de administración,SellingGeneralAndAdministrativeExpense,False,67474000.0,1557378000.0,63124000.0,64175000.0,63758000.0,48707000.0,77901000.0,55565000.0,53318000.0,44327000.0,46106000.0,44287000.0,44371000.0,41319000.0,34811000.0,36554000.0,37706000.0,33109000.0,32256000.0,31436000.0,29926000.0,27848000.0,31003000.0,34062000.0,35481000.0,26507000.0,31019000.0,33741000.0,35282000.0
deterioro,Deterioro de activos,AssetImpairmentCharges,False,4826000.0,45924000.0,3081000.0,19876000.0,52402000.0,23647000.0,23421000.0,2394000.0,43331000.0,14994000.0,7388000.0,1086000.0,12629000.0,13146000.0,4356000.0,0.0,0.0,2357000.0,1490000.0,23692000.0,23568000.0,9317000.0,23313000.0,75151000.0,27827000.0,98000.0,18096000.0,9939000.0,0.0
gastos_totales,Gastos totales,CostsAndExpenses,True,3006683000.0,4451062000.0,2392586000.0,2250031000.0,2224380000.0,2141587000.0,1871797000.0,1734452000.0,1718840000.0,1662312000.0,1589778000.0,1513133000.0,1522725000.0,1511748000.0,1467606000.0,1363209000.0,1344990000.0,1240518000.0,1148643000.0,1134148000.0,1048056000.0,1152170000.0,1118216000.0,1184221000.0,1182912000.0,1097002000.0,1187745000.0,1157736000.0,1135931000.0
gasto_intereses,Gasto por intereses,InterestExpenseDebt,False,,,,,,,139050000.0,133424000.0,147318000.0,154574000.0,156532000.0,152337000.0,144403000.0,140391000.0,139682000.0,127750000.0,121696000.0,121848000.0,122522000.0,122341000.0,123142000.0,121173000.0,124851000.0,126357000.0,142007000.0,131648000.0,137343000.0,141336000.0,145232000.0
ganancia_venta_inmuebles,Ganancia por venta de inmuebles,GainsLossesOnSalesOfInvestmentRealEstate,False,,,,,,,,166443000.0,4707000.0,-1783000.0,71102000.0,-2168000.0,747000.0,-4423000.0,1064000.0,-3532000.0,22934000.0,11673000.0,119954000.0,44668000.0,59080000.0,185464000.0,484304000.0,155863000.0,262824000.0,12064000.0,570250000.0,-1682000.0,167409000.0
