linea,etiqueta,tag_gaap,subtotal,2026-03-31,2025-12-31,2025-03-31,2024-12-31,2024-03-31,2023-12-31,2023-03-31,2022-12-31,2022-03-31,2021-12-31,2021-03-31,2020-12-31,2020-03-31,2019-12-31,2019-06-30,2019-03-31
flujo_operacion,Flujo de efectivo de operación,NetCashProvidedByUsedInOperatingActivities,True,670011000.0,654329000.0,598958000.0,559212000.0,406806000.0,370502000.0,376058000.0,253386000.0,324520000.0,283330000.0,303658000.0,255172000.0,411857000.0,326068000.0,,343895000.0
compensacion_en_acciones,Compensación basada en acciones,ShareBasedCompensation,False,18830000.0,1508384000.0,17505000.0,13513000.0,12048000.0,8418000.0,9456000.0,6693000.0,7445000.0,2944000.0,5576000.0,7380000.0,7083000.0,4546000.0,7662000.0,7529000.0
adquisicion_inmuebles,Adquisición de inmuebles,PaymentsToAcquireCommercialRealEstate,False,,,,,,2484639000.0,402719000.0,13022000.0,601410000.0,1348968000.0,203107000.0,510382000.0,390802000.0,954915000.0,,237610000.0
desarrollo_inmuebles,Desarrollo y mejoras,PaymentsForCapitalImprovements,False,269832000.0,313975000.0,240350000.0,318794000.0,132509000.0,183592000.0,91339000.0,160181000.0,90229000.0,116897000.0,28780000.0,61665000.0,69382000.0,122411000.0,,56935000.0
flujo_inversion,Flujo de efectivo de inversión,NetCashProvidedByUsedInInvestingActivities,True,-807186000.0,-5455171000.0,-2028139000.0,-2205463000.0,-580931000.0,-3144188000.0,-932837000.0,-419305000.0,-808547000.0,-1527796000.0,-139140000.0,18183000.0,149748000.0,-990466000.0,,197268000.0
emision_deuda,Disposición de deuda,ProceedsFromLinesOfCredit,False,250000.0,,0.0,,,0.0,0.0,,,33939000.0,,,,253011000.0,,
pago_deuda,Amortización de deuda,RepaymentsOfLinesOfCredit,False,250000.0,,0.0,,0.0,0.0,0.0,,24967000.0,,0.0,0.0,742612000.0,,,
emision_acciones,Emisión de acciones,ProceedsFromIssuanceOfCommonStock,False,1544848000.0,,1992403000.0,,2416484000.0,,411032000.0,,549326000.0,981737000.0,0.0,19117000.0,591001000.0,370020000.0,,533543000.0
dividendos_pagados,Dividendos pagados,PaymentsOfDividendsCommonStock,False,520347000.0,509708000.0,431041000.0,418464000.0,352529000.0,338357000.0,301829000.0,298403000.0,273668000.0,265210000.0,254952000.0,254830000.0,356001000.0,353290000.0,,344760000.0
flujo_financiamiento,Flujo de efectivo de financiamiento,NetCashProvidedByUsedInFinancingActivities,True,-199539000.0,3032604000.0,1308165000.0,1590064000.0,578567000.0,2137544000.0,470470000.0,457043000.0,505105000.0,1228745000.0,371903000.0,-414663000.0,-544295000.0,709683000.0,,-452205000.0
cambio_neto_efectivo,Variación neta de efectivo,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalentsPeriodIncreaseDecreaseIncludingExchangeRateEffect,True,-390246000.0,-1731034000.0,-101172000.0,-72951000.0,402252000.0,-610628000.0,-83496000.0,297108000.0,20288000.0,-15890000.0,537779000.0,-134291000.0,7300000.0,55031000.0,,91310000.0
