linea,etiqueta,tag_gaap,subtotal,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31
inmuebles_bruto,"Inmuebles, costo",RealEstateInvestmentPropertyAtCost,False,19813458000.0,19176956000.0,19044177000.0,18909351000.0,18783985000.0,18194755000.0,17802871000.0,17577500000.0,17181445000.0,17149516000.0,17882256000.0,19252899000.0,19675409000.0,18900000000.0,18700011000.0,18147471000.0,16019635000.0,16054483000.0,15918394000.0,15522002000.0,15552967000.0,14793552000.0,14858069000.0,14419695000.0,14133970000.0,13945403000.0,13848730000.0,,,
depreciacion_acumulada,Depreciación acumulada,RealEstateInvestmentPropertyAccumulatedDepreciation,False,3656944000.0,3573321000.0,3578330000.0,3508787000.0,3503850000.0,3367408000.0,3222396000.0,3195204000.0,3096516000.0,3067292000.0,3005479000.0,3438183000.0,3378385000.0,3225576000.0,3269057000.0,3065161000.0,3043146000.0,2986676000.0,2889294000.0,2793347000.0,2699085000.0,2572091000.0,2490087000.0,2382971000.0,2257551000.0,2144252000.0,2035995000.0,1914233000.0,1812628000.0,1681942000.0
inmuebles_neto,"Inmuebles, neto",RealEstateInvestmentPropertyNet,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,13639143000.0,13800409000.0,13699448000.0
efectivo,Efectivo y equivalentes,CashAndCashEquivalentsAtCarryingValue,False,163538000.0,239266000.0,155329000.0,249029000.0,244831000.0,187809000.0,640373000.0,818194000.0,1085967000.0,776966000.0,633860000.0,136438000.0,204103000.0,147939000.0,167996000.0,186417000.0,103590000.0,205403000.0,165427000.0,129686000.0,164515000.0,229153000.0,248662000.0,152215000.0,137157000.0,220929000.0,196028000.0,331687000.0,202279000.0,243325000.0
goodwill,Crédito mercantil,Goodwill,False,982611000.0,983970000.0,987071000.0,986967000.0,986472000.0,974497000.0,967843000.0,979265000.0,973204000.0,974052000.0,978289000.0,1034183000.0,1036966000.0,1037819000.0,1037412000.0,1023171000.0,891464000.0,899596000.0,901529000.0,903976000.0,907295000.0,905701000.0,910818000.0,904075000.0,898842000.0,929887000.0,934688000.0,930864000.0,920218000.0,918673000.0
inversiones_no_consolidadas,Inversiones en no consolidadas,EquityMethodInvestments,False,279503000.0,309337000.0,310178000.0,311173000.0,311411000.0,304838000.0,301115000.0,299465000.0,356220000.0,355668000.0,354261000.0,351537000.0,340285000.0,341153000.0,327502000.0,297665000.0,344360000.0,339372000.0,356637000.0,361835000.0,351865000.0,269448000.0,283446000.0,288444000.0,284643000.0,276109000.0,324004000.0,315641000.0,317159000.0,320066000.0
prestamos_por_cobrar,Préstamos por cobrar,NotesReceivableNet,False,1202238000.0,1237482000.0,1210976000.0,1188728000.0,1101964000.0,902941000.0,836636000.0,678993000.0,685499000.0,679512000.0,1554830000.0,1177391000.0,1229643000.0,1229757000.0,782594000.0,789376000.0,810677000.0,813642000.0,843510000.0,680263000.0,704921000.0,751303000.0,765784000.0,765751000.0,800184000.0,901993000.0,944286000.0,1234038000.0,1321056000.0,1346251000.0
activos_mantenidos_venta,Activos mantenidos para la venta,AssetsHeldForSaleNotPartOfDisposalGroup,False,,,,,,,,,,,,,,,,,,0.0,8269000.0,11672000.0,5682000.0,14983000.0,18590000.0,10626000.0,,,104010000.0,104013000.0,102777000.0,
activos_otros,Otros activos,OtherAssets,False,1042026000.0,1053277000.0,1068480000.0,1029245000.0,1115337000.0,1000675000.0,1045218000.0,1122571000.0,1261222000.0,1422597000.0,1096474000.0,1191350000.0,1154945000.0,1588034000.0,1080227000.0,1146099000.0,1119389000.0,1043760000.0,1017842000.0,997318000.0,931924000.0,903927000.0,851881000.0,793079000.0,747878000.0,623181000.0,631637000.0,590124000.0,580270000.0,584855000.0
activos_totales,Activos totales,Assets,True,18634633000.0,18200021000.0,17990232000.0,17985040000.0,17998197000.0,17307305000.0,17535024000.0,17631576000.0,17769285000.0,17611507000.0,17976783000.0,18630239000.0,19076325000.0,18832407000.0,18102035000.0,17774842000.0,15454229000.0,15569532000.0,15480630000.0,15135134000.0,15232166000.0,14548700000.0,14707636000.0,14189510000.0,13956013000.0,13890308000.0,14060918000.0,14083639000.0,14192007000.0,14155902000.0
deuda_hipotecaria,Deuda hipotecaria,SecuredDebt,False,194246000.0,101074000.0,140646000.0,191387000.0,235425000.0,335345000.0,401821000.0,451962000.0,467200000.0,504808000.0,579147000.0,784750000.0,995435000.0,1043808000.0,1132417000.0,1162814000.0,328820000.0,351175000.0,368524000.0,688430000.0,724778000.0,728663000.0,1145554000.0,1234197000.0,1424195000.0,1433372000.0,1462487000.0,1771887000.0,2203853000.0,2503321000.0
notas_senior,Notas senior no garantizadas,SeniorNotes,False,7376851000.0,7415872000.0,6950261000.0,6943940000.0,6540432000.0,6211918000.0,6505907000.0,6134810000.0,6519887000.0,5969622000.0,6035686000.0,5902854000.0,5978294000.0,5978499000.0,5916400000.0,5651865000.0,5471066000.0,5647833000.0,5701913000.0,5419419000.0,5493556000.0,5451520000.0,5146192000.0,4513243000.0,4384879000.0,4323063000.0,4390189000.0,4302892000.0,3861931000.0,3513268000.0
linea_de_credito,Línea de crédito revolvente,LineOfCredit,False,116230000.0,61968000.0,435417000.0,354846000.0,660872000.0,205129000.0,55448000.0,229607000.0,15005000.0,291621000.0,403785000.0,516513000.0,528705000.0,669463000.0,276392000.0,462660000.0,417455000.0,476085000.0,410596000.0,254463000.0,276121000.0,21751000.0,82281000.0,182799000.0,22366000.0,75483000.0,201267000.0,22410000.0,111227000.0,106899000.0
