linea,etiqueta,tag_gaap,subtotal,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
ingreso_rentas,Ingresos por arrendamiento,OperatingLeaseLeaseIncome,False,1479204000.0,1331788000.0,1427376000.0,1301617000.0,1177438000.0,1080623000.0,987984000.0
ingreso_renta_variable,Renta variable sobre ventas,OperatingLeaseVariableLeaseIncome,False,165278000.0,145058000.0,173036000.0,140675000.0,111188000.0,99193000.0,89873000.0
ingresos_totales,Ingresos totales,Revenues,True,1716485000.0,1583018000.0,1741358000.0,1479086000.0,1331524000.0,1209319000.0,1232766000.0
depreciacion_amortizacion,Depreciación y amortización,DepreciationAndAmortization,False,521127000.0,487724000.0,574212000.0,503403000.0,475989000.0,442935000.0,447135000.0
gasto_administracion,Gastos generales y de administración,GeneralAndAdministrativeExpense,False,100672000.0,98969000.0,96395000.0,91470000.0,81888000.0,75950000.0,75293000.0
deterioro,Deterioro de activos,ImpairmentOfRealEstate,False,70367000.0,43595000.0,86411000.0,39119000.0,24246000.0,35830000.0,32539000.0
gastos_totales,Gastos totales,CostsAndExpenses,True,917052000.0,852157000.0,1018007000.0,866983000.0,726656000.0,691601000.0,731117000.0
gasto_intereses,Gasto por intereses,InterestExpense,False,,,291852000.0,219160000.0,196831000.0,210087000.0,233325000.0
ganancia_venta_inmuebles,Ganancia por venta de inmuebles,GainLossOnSaleOfProperties,False,193793000.0,74822000.0,315984000.0,43476000.0,40425000.0,109370000.0,18143000.0
resultado_no_consolidadas,Participación en no consolidadas,IncomeLossFromEquityMethodInvestments,False,18009000.0,17926000.0,19575000.0,29509000.0,-10829000.0,-18557000.0,23229000.0
otros_no_operativos,Otros resultados no operativos,OtherNonoperatingIncomeExpense,False,16951000.0,52236000.0,21442000.0,30309000.0,13860000.0,9587000.0,22551000.0
utilidad_antes_impuestos,Utilidad antes de impuestos,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,True,504823000.0,492339000.0,752316000.0,626206000.0,438608000.0,445196000.0,332755000.0
impuestos,Impuesto a la utilidad,IncomeTaxExpenseBenefit,False,31908000.0,31709000.0,44052000.0,27724000.0,28486000.0,-20759000.0,26211000.0
utilidad_neta,Utilidad neta,ProfitLoss,True,472915000.0,460630000.0,708264000.0,598482000.0,410122000.0,465955000.0,306544000.0
utilidad_minoritarios,Participación no controladora,NetIncomeLossAttributableToNoncontrollingInterest,False,6556000.0,-209000.0,-70000.0,-657000.0,134000.0,10596000.0,1301000.0
utilidad_neta_comun,Utilidad neta atribuible a comunes,NetIncomeLoss,True,466359000.0,460839000.0,708334000.0,599139000.0,409988000.0,455359000.0,305243000.0
acciones_basicas,"Acciones promedio, básicas",WeightedAverageNumberOfSharesOutstandingBasic,False,220501239.0,220168325.0,215369777.0,199633802.0,182486476.0,174504406.0,171001430.0
acciones_diluidas,"Acciones promedio, diluidas",WeightedAverageNumberOfDilutedSharesOutstanding,False,221112343.0,220520457.0,215760496.0,200427124.0,183127098.0,174839428.0,171299414.0
dividendo_declarado_por_accion,Dividendo declarado por acción,CommonStockDividendsPerShareDeclared,False,3.62,3.49,4.067,4.242,4.205,4.172,4.14
