linea,etiqueta,tag_gaap,subtotal,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31
ingreso_rentas,Ingresos por arrendamiento,OperatingLeaseLeaseIncome,False,409661000.0,402831000.0,,,364195000.0,353768000.0,,,,,336757000.0,369159000.0,369124000.0,352336000.0,347636000.0,331902000.0,314354000.0,307725000.0,305093000.0,298616000.0,289064000.0,284665000.0,280878000.0,276227000.0,261469000.0,262049000.0,253737000.0,253459000.0,244334000.0,236381000.0
ingreso_renta_variable,Renta variable sobre ventas,OperatingLeaseVariableLeaseIncome,False,46515000.0,44828000.0,,,42007000.0,39684000.0,,,,,40432000.0,43678000.0,44656000.0,44270000.0,39537000.0,36469000.0,33085000.0,31584000.0,29234000.0,27256000.0,27360000.0,27338000.0,24769000.0,26871000.0,24472000.0,23080000.0,21956000.0,24304000.0,22277000.0,21263000.0
ingresos_totales,Ingresos totales,Revenues,True,461064000.0,454509000.0,444547000.0,431303000.0,430777000.0,409858000.0,406165000.0,397383000.0,389672000.0,389798000.0,412437000.0,448553000.0,452578000.0,427790000.0,402629000.0,383622000.0,344397000.0,348438000.0,374880000.0,325754000.0,319724000.0,311166000.0,307371000.0,302419000.0,290530000.0,308999000.0,311227000.0,318005000.0,305211000.0,298323000.0
depreciacion_amortizacion,Depreciación y amortización,DepreciationAndAmortization,False,134378000.0,136183000.0,145339000.0,125586000.0,120595000.0,129607000.0,115770000.0,115705000.0,137481000.0,118768000.0,129484000.0,144771000.0,143548000.0,156409000.0,140749000.0,132181000.0,115080000.0,115393000.0,135662000.0,115657000.0,114348000.0,110322000.0,110913000.0,108351000.0,107477000.0,116194000.0,111607000.0,109517000.0,113632000.0,112379000.0
gasto_administracion,Gastos generales y de administración,GeneralAndAdministrativeExpense,False,25934000.0,27348000.0,25899000.0,23656000.0,24150000.0,26967000.0,24254000.0,22679000.0,24168000.0,27868000.0,21579000.0,23355000.0,24912000.0,26549000.0,25246000.0,22299000.0,20841000.0,23084000.0,19591000.0,19750000.0,20464000.0,22083000.0,18334000.0,19399000.0,17472000.0,20745000.0,17069000.0,17210000.0,19729000.0,21285000.0
deterioro,Deterioro de activos,ImpairmentOfRealEstate,False,79421000.0,40008000.0,39690000.0,19474000.0,4349000.0,6854000.0,27843000.0,0.0,15752000.0,0.0,71238000.0,15173000.0,0.0,0.0,12734000.0,0.0,6206000.0,20179000.0,7945000.0,16301000.0,0.0,0.0,16410000.0,0.0,0.0,19420000.0,6758000.0,25800000.0,0.0,0.0
gastos_totales,Gastos totales,CostsAndExpenses,True,297536000.0,255098000.0,265149000.0,225138000.0,208291000.0,218474000.0,221877000.0,194230000.0,233010000.0,203040000.0,282985000.0,256590000.0,231687000.0,246745000.0,234794000.0,246811000.0,186758000.0,198620000.0,200539000.0,188029000.0,171185000.0,166903000.0,177996000.0,162239000.0,158379000.0,192987000.0,175816000.0,198409000.0,179170000.0,177722000.0
gasto_intereses,Gasto por intereses,InterestExpense,False,,,,,,,,,,68651000.0,72194000.0,76974000.0,75488000.0,67196000.0,67668000.0,59022000.0,46417000.0,46053000.0,47208000.0,48731000.0,49252000.0,51640000.0,52828000.0,52537000.0,52182000.0,52540000.0,53667000.0,58626000.0,59719000.0,61313000.0
ganancia_venta_inmuebles,Ganancia por venta de inmuebles,GainLossOnSaleOfProperties,False,5819000.0,54141000.0,52791000.0,44401000.0,52824000.0,43777000.0,4480000.0,15534000.0,39363000.0,15445000.0,134026000.0,2401000.0,1808000.0,177749000.0,5845000.0,-4736000.0,31119000.0,11248000.0,9511000.0,1702000.0,19840000.0,9372000.0,76686000.0,20933000.0,0.0,11751000.0,17501000.0,71000.0,-362000.0,933000.0
resultado_no_consolidadas,Participación en no consolidadas,IncomeLossFromEquityMethodInvestments,False,55579000.0,4543000.0,4109000.0,2361000.0,6161000.0,5378000.0,302000.0,6124000.0,6636000.0,4864000.0,5006000.0,4978000.0,4355000.0,5236000.0,6032000.0,11304000.0,7401000.0,4772000.0,-6675000.0,5735000.0,-156000.0,-9733000.0,-8470000.0,1720000.0,33983000.0,-45790000.0,8018000.0,5769000.0,3951000.0,5491000.0
